Program,Year,Period,Geo Level,State,State ANSI,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2025,YEAR,STATE,ALABAMA,1,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,550"
SURVEY,2025,YEAR,STATE,ALABAMA,1,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,150"
SURVEY,2025,YEAR,STATE,ALABAMA,1,AG LAND,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,400"
SURVEY,2025,YEAR,STATE,ARIZONA,4,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"8,150"
SURVEY,2025,YEAR,STATE,ARIZONA,4,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,180"
SURVEY,2025,YEAR,STATE,ARIZONA,4,AG LAND,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,950
SURVEY,2025,YEAR,STATE,ARKANSAS,5,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,720"
SURVEY,2025,YEAR,STATE,ARKANSAS,5,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,250"
SURVEY,2025,YEAR,STATE,ARKANSAS,5,AG LAND,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,370"
SURVEY,2025,YEAR,STATE,CALIFORNIA,6,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"17,940"
SURVEY,2025,YEAR,STATE,CALIFORNIA,6,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"13,700"
SURVEY,2025,YEAR,STATE,CALIFORNIA,6,AG LAND,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,080"
SURVEY,2025,YEAR,STATE,COLORADO,8,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,880"
SURVEY,2025,YEAR,STATE,COLORADO,8,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,290"
SURVEY,2025,YEAR,STATE,COLORADO,8,AG LAND,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,150"
SURVEY,2025,YEAR,STATE,CONNECTICUT,9,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"22,700"
SURVEY,2025,YEAR,STATE,CONNECTICUT,9,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"14,400"
SURVEY,2025,YEAR,STATE,CONNECTICUT,9,AG LAND,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"12,700"
SURVEY,2025,YEAR,STATE,DELAWARE,10,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"9,300"
SURVEY,2025,YEAR,STATE,DELAWARE,10,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"9,550"
SURVEY,2025,YEAR,STATE,DELAWARE,10,AG LAND,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"7,650"
SURVEY,2025,YEAR,STATE,FLORIDA,12,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"10,550"
SURVEY,2025,YEAR,STATE,FLORIDA,12,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"8,700"
SURVEY,2025,YEAR,STATE,FLORIDA,12,AG LAND,"AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"7,400"
