X,Y,objectid,name,address,address2,city,zip,island,type,numholes,phone,website,notes
912565.9768,2186355.608,1,Banyan Golf Club,93 Banyan Dr.,,Hilo,96720,Hawaii,Sem-Priv,9,808-935-3000,https://www.grandnaniloahilo.com/things-to-do-hilo-hawaii/golf-course/,aka Naniloa Golf Course
820601.9932,2159826.4673,2,The Club at Hokuli'a,81-6636 Pu'u Ohau Place,,Kealakekua,96750,Hawaii,Priv,18,808-930-4101,https://www.hokuliaclub.com/,
832520.3348,2214100.4313,3,Hapuna Golf Course,62-100 Kaunaʻoa Dr,,Waimea,96743,Hawaii,Res,18,808-880-3000,https://www.maunakearesort.com/golf/hapuna-golf-course,
911462.4457,2180180.7398,4,Hilo Municipal Golf Course,340 Haihai St.,,Hilo,96720,Hawaii,Muni,18,808-959-7711,https://www.parks.hawaiicounty.gov/facilities-parks/hilo-municipal-golf-course,
815197.5704,2195240.9589,5,Hualalai Golf Club,72-100 Ka`upulehu Drive,,Kailua-Kona,96740,Hawaii,Priv-Res,18,808-325-8480,https://www.fourseasons.com/hualalai/golf/,
815197.5704,2195240.9589,6,Ke'olu Golf Course,72-100 Ka`upulehu Drive,,Kailua-Kona,96740,Hawaii,Priv,18,808 325-8480,https://www.hualalairesort.com/club/keolu-golf-course/,
810501.7254,2180671.9735,7,Kohanaiki Golf ,73-2055 Ala Kohanaiki,,Kailua-Kona,96740,Hawaii,Priv,18,808-329-6200,https://kohanaiki.com/lifestyle/golf/,
818967.0674,2165914.6905,8,Kona Country Club,78-7000 Alii Drive,,Kailua-Kona,96740,Hawaii,Pub,18,808-322-2595,https://www.konacountryclub.com/,
815240.5321,2192933.9172,9,Kukio Golf & Beach Club,87 Queen Ka'ahumanu Hwy,,Kailua-Kona,96740,Hawaii,Priv,18,808-325-4040,http://www.kukio.com/golf-club.html,
816908.7065,2185635.9622,10,Makalei Golf Club,72-3890 Hawaii Belt Road,,Kailua-Kona,96740,Hawaii,Pub,18,808-325-6625,https://www.makalei.com/,
831408.113,2194648.1144,11,Makani Golf Club,71-1420 Mamalahoa Highway,,Kailua-Kona,96740,Hawaii,Pub,18,808-325-5044,https://www.makanigolfclub.com/,
