Always equal to ACS Summary File identification,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Block Group,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Median Value,Median Household Income (In 2022 Inflation Adjusted Dollars),Total Population,Housing Units,Area Total:,Area Total: Area (Land),Area Total: Area (Water),Median Gross Rent,Occupied Housing Units,Occupied Housing Units: Built 2020 or Later,Occupied Housing Units: Built 2010 to 2019,Occupied Housing Units: Built 2000 to 2009,Occupied Housing Units: Built 1990 to 1999,Occupied Housing Units: Built 1980 to 1989,Occupied Housing Units: Built 1970 to 1979,Occupied Housing Units: Built 1960 to 1969,Occupied Housing Units: Built 1950 to 1959,Occupied Housing Units: Built 1940 to 1949,Occupied Housing Units: Built 1939 or Earlier,Median Year Structure Built,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Vacant Housing Units:,Vacant Housing Units: For Rent,Vacant Housing Units: For Sale Only,Vacant Housing Units: Other Vacant
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo__geoid_,Geo_AREALAND,Geo_AREAWATER,Geo_PLACESE,Geo_qname,SE_A10036_001,SE_A14006_001,SE_A00001_001,SE_A10001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_A18009_001,SE_A10055_001,SE_A10055_002,SE_A10055_003,SE_A10055_004,SE_A10055_005,SE_A10055_006,SE_A10055_007,SE_A10055_008,SE_A10055_009,SE_A10055_010,SE_A10055_011,SE_A10057_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004
ACSSF,HI,150,0,15,3,107,1,1500000US150030001071,"Block Group 1, Census Tract 1.07, Honolulu County, Hawaii",,,1.50E+11,2306747,0,15,"Block Group 1, Census Tract 1.07, Honolulu County, Hawaii",860300,131850,1624,505,0.89064002,0.89064002,0,2944,505,0,8,15,20,34,380,46,2,0,0,1975,505,413,92,0,0,0,0
ACSSF,HI,150,0,15,3,107,2,1500000US150030001072,"Block Group 2, Census Tract 1.07, Honolulu County, Hawaii",,,1.50E+11,478598,236436,15,"Block Group 2, Census Tract 1.07, Honolulu County, Hawaii",1399100,164539,1181,448,0.276076168,0.184787735,0.091288455,3444,431,0,0,0,8,115,220,82,6,0,0,1976,431,366,65,17,0,0,17
ACSSF,HI,150,0,15,3,108,1,1500000US150030001081,"Block Group 1, Census Tract 1.08, Honolulu County, Hawaii",,,1.50E+11,474000,131188,15,"Block Group 1, Census Tract 1.08, Honolulu County, Hawaii",954800,165609,1086,527,0.233664408,0.183012426,0.050651971,3501,441,0,0,25,160,190,66,0,0,0,0,1988,441,360,81,86,0,27,59
ACSSF,HI,150,0,15,3,108,2,1500000US150030001082,"Block Group 2, Census Tract 1.08, Honolulu County, Hawaii",,,1.50E+11,143378,66676,15,"Block Group 2, Census Tract 1.08, Honolulu County, Hawaii",916200,103688,885,305,0.081102304,0.055358559,0.025743749,3501,305,0,0,0,27,15,83,158,8,14,0,1968,305,223,82,0,0,0,0
ACSSF,HI,150,0,15,3,108,3,1500000US150030001083,"Block Group 3, Census Tract 1.08, Honolulu County, Hawaii",,,1.50E+11,319236,240514,15,"Block Group 3, Census Tract 1.08, Honolulu County, Hawaii",989900,163155,1309,560,0.21612069,0.123257712,0.092862979,3053,510,0,0,0,5,29,180,158,138,0,0,1967,510,395,115,50,0,0,50
ACSSF,HI,150,0,15,3,110,1,1500000US150030001101,"Block Group 1, Census Tract 1.10, Honolulu County, Hawaii",,,1.50E+11,390323,0,15,"Block Group 1, Census Tract 1.10, Honolulu County, Hawaii",1090500,135556,1494,512,0.150704563,0.150704563,0,3371,496,0,0,0,11,53,345,65,22,0,0,1975,496,453,43,16,16,0,0
ACSSF,HI,150,0,15,3,110,2,1500000US150030001102,"Block Group 2, Census Tract 1.10, Honolulu County, Hawaii",,,1.50E+11,2232096,1030241,15,"Block Group 2, Census Tract 1.10, Honolulu County, Hawaii",1403200,155139,949,309,1.259595394,0.861817122,0.397778302,3500,309,0,9,89,2,108,101,0,0,0,0,1985,309,234,75,0,0,0,0
ACSSF,HI,150,0,15,3,110,3,1500000US150030001103,"Block Group 3, Census Tract 1.10, Honolulu County, Hawaii",,,1.50E+11,3140645,0,15,"Block Group 3, Census Tract 1.10, Honolulu County, Hawaii",1042800,119875,1331,439,1.212609887,1.212609887,0,,430,0,0,0,56,169,194,11,0,0,0,1981,430,376,54,9,0,0,9
ACSSF,HI,150,0,15,3,110,4,1500000US150030001104,"Block Group 4, Census Tract 1.10, Honolulu County, Hawaii",,,1.50E+11,890664,0,15,"Block Group 4, Census Tract 1.10, Honolulu County, Hawaii",1298600,166378,516,230,0.343887299,0.343887299,0,,199,0,0,56,20,46,77,0,0,0,0,1982,199,176,23,31,0,0,31
