OBJECTID,ZONE_,SECTION_,PLAT,ZSP,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,Shape__Area,Shape__Length
1,9,1,080,91080,,,GIS_EDITOR,10/31/2019 5:38:54 PM,ea8c7a57-c6a3-4fa9-b14f-9213fac8d494,500132.619567871,6063.09234581712
2,9,1,079,91079,,,GIS_EDITOR,10/31/2019 5:38:54 PM,626d231c-022e-4773-99c6-824a802ef4ea,661224.617645264,5517.44189360287
3,9,1,152,91152,,,GIS_EDITOR,10/31/2019 5:38:54 PM,1f7d30d6-6e1a-4aa8-b30c-02816bfbc9b8,837526.404624939,11259.6601035399
4,9,1,153,91153,,,GIS_EDITOR,10/31/2019 5:38:54 PM,82a41a75-570b-4620-8c62-e3f044640061,1061111.51994324,15848.3536139082
5,9,1,149,91149,,,rpa,11/16/2018 8:41:31 AM,f265eadc-d667-44cc-875b-7970ab3f4c98,2786126.57633209,7532.21400057257
6,9,1,151,91151,,,GIS_EDITOR,10/31/2019 5:38:54 PM,fa66a565-0c0a-48e6-b4b4-61e7779d313e,2112493.04473114,25647.5633882513
7,2,4,013,24013,,,rpa,2/19/2016 12:13:46 PM,c070f425-f7b9-4c42-ae79-1b39620e1b78,847513.824417114,3747.87349263997
8,9,7,031,97031,,,GIS_EDITOR,11/19/2019 1:46:29 AM,27d17c54-d1c0-46b9-999a-7c2e300e80fe,960395.416191101,4667.17605990342
9,3,1,023,31023,,,GIS_EDITOR,11/19/2019 12:38:29 AM,5414d9c6-3230-476c-b9ff-fb5c09de9714,661077.885772705,3330.06651790723
10,9,1,178,91178,GIS_EDITOR,10/31/2019 5:38:35 PM,GIS_EDITOR,11/8/2019 5:54:30 PM,2ce21421-3d7f-4603-ad27-a59e9e3fe6ad,753096.689056396,8378.63698170987
11,4,5,092,45092,,,rpa,2/19/2016 12:13:46 PM,2cfd3906-af3a-4aa3-8ee7-f0ebfe50a5e4,1030862.55612183,4474.15542381742
12,3,2,002,32002,,,rpa,12/3/2018 10:02:30 AM,fdd8b606-e0ae-470d-8848-1481f6f80eeb,588583.798072815,3109.00083787625
13,1,5,005,15005,GIS_EDITOR,1/9/2020 7:50:05 PM,GIS_EDITOR,2/6/2020 7:11:12 PM,50b3f64c-0e01-4493-9bc5-6ea76b5f0d0f,677443.55191803,4313.93377461384
14,9,7,092,97092,GIS_EDITOR,1/28/2020 7:36:06 PM,GIS_EDITOR,1/28/2020 8:54:27 PM,f1ce5003-59fd-46f5-ba4d-94fdcaed966e,641928.976882935,5863.02063088446
15,2,1,001,21001,,,GIS_EDITOR,1/6/2020 7:36:11 PM,5df89c30-fde2-4f9d-a281-91cf10a9f776,2388316.61252594,11092.4844110693
16,9,7,048,97048,GIS_EDITOR,1/28/2020 8:57:44 PM,GIS_EDITOR,1/28/2020 8:58:18 PM,783c7360-2e78-4fb8-a7e7-071edfc8eb95,1052266.04496765,14451.4110358091
17,2,7,010,27010,,,rpa,2/19/2016 12:13:46 PM,4058944c-cead-4ddf-b77a-833f94215921,309355.55381012,2923.94257515026
18,9,7,047,97047,GIS_EDITOR,1/28/2020 7:52:25 PM,GIS_EDITOR,1/28/2020 7:52:44 PM,9a93b4ee-f1aa-4632-9851-422338bcb38e,590102.843536377,8295.10735395901
19,6,6,019,66019,,,GIS_EDITOR,2/14/2020 12:50:05 AM,943a2f93-20cd-4a96-bbc0-230f7d35bae2,2079316.36039734,6944.16641535461
20,5,7,006,57006,rpa,8/25/2016 3:12:36 PM,GIS_EDITOR,1/17/2020 12:49:45 AM,c4b88291-137f-42d1-9ca9-fb88d7abf4a6,3863458.66033936,11290.4863746813
21,1,5,006,15006,,,GIS_EDITOR,1/9/2020 8:33:48 PM,d479b75d-e214-45fa-9236-15e3dfc7d4d3,612110.353607178,3557.13345555579
22,9,7,023,97023,,,GIS_EDITOR,1/30/2020 9:49:11 PM,c0495507-4f45-49f8-892b-5a96e9fa87ad,2878956.26177979,8022.01262283759
23,2,1,012,21012,,,rpa,2/19/2016 12:13:46 PM,26f8cb26-09a5-4319-a487-dd317ec8b5f3,238742.832313538,2165.32710276433
24,1,7,043,17043,GIS_EDITOR,1/22/2020 5:39:07 PM,GIS_EDITOR,1/22/2020 5:41:11 PM,1c0e3f86-c90a-4216-b81d-4806df2c4ed4,381686.891105652,2545.7004375884
25,9,2,049,92049,,,GIS_EDITOR,12/18/2019 6:29:28 PM,a0b26fbe-f605-47a2-9bbc-78eb482bdd06,90084671.2127075,73077.1648720727
26,2,9,075,29075,,,GIS_EDITOR,1/24/2020 8:32:25 PM,b211cdfa-56e1-4bc0-918b-c8e0c5e0c6e6,637392.001686096,4832.36322301092
27,3,1,009,31009,,,GIS_EDITOR,11/19/2019 9:52:33 PM,dbd6593e-badd-46f1-9899-d0780bdddc29,386525.19052124,3037.22209123691
28,2,6,027,26027,,,GIS_EDITOR,1/8/2020 8:34:28 PM,c5b60b11-198c-4703-90c2-0698adfc606e,513996.490093231,2998.55515582003
29,1,5,007,15007,,,GIS_EDITOR,1/8/2020 7:35:11 PM,e3523aed-3e3f-4809-b575-def38c49ba67,1047271.82655334,4340.5385534658
