OBJECTID,ZONMAP_NO,MAP_AREA,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
1,24,WAIMANALO,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
2,24,WAIMANALO,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
3,21,KUALOA - WAIAHOLE - KAHALUU,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
4,22,HEEIA - KANEOHE - MAUNAWILI,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
5,0,NO COVERAGE,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
6,12,EWA BEACH - IROQUOIS POINT,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
7,12,EWA BEACH - IROQUOIS POINT,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
8,0,NO COVERAGE,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
9,10,WAIPIO (MILILANI),mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
10,11,WAHIAWA - WHITMORE,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
11,14,BARBER'S POINT - KAHE - NANAKULI,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
12,19,KAHUKU - LAIE,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
13,1,HAWAII KAI,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
14,8,WAIPAHU,mpc,2013/07/09 13:07:21+00,dpp,2014/08/26 08:51:07+00
15,2,KAHALA - KULIOUOU,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
16,22,HEEIA - KANEOHE - MAUNAWILI,mpc,2013/07/09 13:07:21+00,DPP,2016/03/08 09:38:18+00
17,24,WAIMANALO,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
18,3,MOILIILI - KAIMUKI,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
19,18,KAWAILOA - WAIALEE,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
20,0,NO COVERAGE,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
21,9,WAIPIO (CRESTVIEW),mpc,2013/07/09 13:07:21+00,dpp,2015/09/21 13:36:22+00
22,6,RED HILL - FORT SHAFTER,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
23,7,HALAWA - PEARL CITY,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
24,4,NUUANU - MCCULLY,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
25,5,KALIHI - NUUANU,mpc,2013/07/09 13:07:21+00,dpp,2015/11/16 16:10:51+00
26,13,MAKAKILO,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
27,12,EWA BEACH - IROQUOIS POINT,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
28,23,KAILUA - LANIKAI - KEOLU,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
29,17,MOKULEIA - WAIALUA - HALEIWA,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
30,15,LUALUALEI - MAKAHA,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
31,16,MAKUA - KAENA,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
32,0,NO COVERAGE,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
33,21,KUALOA - WAIAHOLE - KAHALUU,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
34,20,HAUULA - PUNALUU - KAAAWA,mpc,2013/07/09 13:07:21+00,mpc,2013/07/09 13:07:21+00
