CBSA Code,CBSA Name,County FIPS,County Name,LL Amount,Loan Limit Ranges,Measure Names,State Name,CBSA Code (Clean),cfCBSAcode,cfCBSAname,Latitude (generated),Longitude (generated)
27220,"Jackson, WY-ID",039,Teton County,"$1,249,125","Exactly $1,249,125",No Measure Value,Wyoming,27220,CBSA Code: ,CBSA Name: ,43.9385,-110.5501
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",037,Jefferson County,"$1,249,125","Exactly $1,249,125",No Measure Value,West Virginia,47900,CBSA Code: ,CBSA Name: ,39.3165,-77.8596
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",187,Warren County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.8968,-78.1977
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",179,Stafford County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.4174,-77.4766
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",177,Spotsylvania County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.1861,-77.6566
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",157,Rappahannock County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.6922,-78.1291
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",153,Prince William County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.7221,-77.4444
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",685,Manassas Park City,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.7713,-77.4363
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",683,Manassas City,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.7449,-77.4824
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",107,Loudoun County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,39.0858,-77.6642
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",630,Fredericksburg City,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.2983,-77.4857
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",061,Fauquier County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.7121,-77.8162
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",610,Falls Church City,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.8821,-77.1728
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",059,Fairfax County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.8316,-77.3234
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",600,Fairfax City,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.852,-77.3021
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",047,Culpeper County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.5056,-78.0018
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",043,Clarke County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,39.1225,-77.9705
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",013,Arlington County,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.8811,-77.1079
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",510,Alexandria City,"$1,249,125","Exactly $1,249,125",No Measure Value,Virginia,47900,CBSA Code: ,CBSA Name: ,38.8152,-77.0903
34880,"Nantucket, MA",019,Nantucket County,"$1,249,125","Exactly $1,249,125",No Measure Value,Massachusetts,34880,CBSA Code: ,CBSA Name: ,41.3157,-70.0042
47240,"Vineyard Haven, MA",007,Dukes County,"$1,249,125","Exactly $1,249,125",No Measure Value,Massachusetts,47240,CBSA Code: ,CBSA Name: ,41.3918,-70.6209
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",033,Prince George'S County,"$1,249,125","Exactly $1,249,125",No Measure Value,Maryland,47900,CBSA Code: ,CBSA Name: ,38.8356,-76.8411
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",031,Montgomery County,"$1,249,125","Exactly $1,249,125",No Measure Value,Maryland,47900,CBSA Code: ,CBSA Name: ,39.1442,-77.2388
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",021,Frederick County,"$1,249,125","Exactly $1,249,125",No Measure Value,Maryland,47900,CBSA Code: ,CBSA Name: ,39.4703,-77.3679
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",017,Charles County,"$1,249,125","Exactly $1,249,125",No Measure Value,Maryland,47900,CBSA Code: ,CBSA Name: ,38.4864,-77.1515
27220,"Jackson, WY-ID",081,Teton County,"$1,249,125","Exactly $1,249,125",No Measure Value,Idaho,27220,CBSA Code: ,CBSA Name: ,43.7265,-111.2233
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",001,District Of Columbia,"$1,249,125","Exactly $1,249,125",No Measure Value,Dist. of Columbia,47900,CBSA Code: ,CBSA Name: ,38.894,-76.9882
