cbsa_code,county,state,loan_limit,longitude,latitude
27220,Teton County,WY,1249125,-110.5501,43.9385
47900,Jefferson County,WV,1249125,-77.8596,39.3165
47900,Warren County,VA,1249125,-78.1977,38.8968
47900,Stafford County,VA,1249125,-77.4766,38.4174
47900,Spotsylvania County,VA,1249125,-77.6566,38.1861
47900,Rappahannock County,VA,1249125,-78.1291,38.6922
47900,Prince William County,VA,1249125,-77.4444,38.7221
47900,Manassas Park City,VA,1249125,-77.4363,38.7713
47900,Manassas City,VA,1249125,-77.4824,38.7449
47900,Loudoun County,VA,1249125,-77.6642,39.0858
47900,Fredericksburg City,VA,1249125,-77.4857,38.2983
47900,Fauquier County,VA,1249125,-77.8162,38.7121
47900,Falls Church City,VA,1249125,-77.1728,38.8821
47900,Fairfax County,VA,1249125,-77.3234,38.8316
47900,Fairfax City,VA,1249125,-77.3021,38.852
47900,Culpeper County,VA,1249125,-78.0018,38.5056
47900,Clarke County,VA,1249125,-77.9705,39.1225
47900,Arlington County,VA,1249125,-77.1079,38.8811
47900,Alexandria City,VA,1249125,-77.0903,38.8152
34880,Nantucket County,MA,1249125,-70.0042,41.3157
47240,Dukes County,MA,1249125,-70.6209,41.3918
47900,Prince George'S County,MD,1249125,-76.8411,38.8356
47900,Montgomery County,MD,1249125,-77.2388,39.1442
47900,Frederick County,MD,1249125,-77.3679,39.4703
47900,Charles County,MD,1249125,-77.1515,38.4864
27220,Teton County,ID,1249125,-111.2233,43.7265
47900,District Of Columbia,NA,1249125,-76.9882,38.894
20780,Eagle County,CO,1249125,-106.6461,39.6378
42100,Santa Cruz County,CA,1249125,-122.0334,37.0686
41940,Santa Clara County,CA,1249125,-121.7207,37.1901
41860,San Mateo County,CA,1249125,-122.3109,37.4084
41860,San Francisco County,CA,1249125,-122.4461,37.7591
41940,San Benito County,CA,1249125,-121.0306,36.5945
31080,Orange County,CA,1249125,-117.7196,33.6664
41860,Marin County,CA,1249125,-122.7009,38.0685
31080,Los Angeles County,CA,1249125,-118.1424,34.2663
41860,Contra Costa County,CA,1249125,-121.9129,37.8886
41860,Alameda County,CA,1249125,-121.8648,37.6798
99999,Madison County,VA,1209750,-78.2789,38.429
25770,Pike County,PA,1209750,-75.0513,41.3416
35620,Westchester County,NY,1209750,-73.7718,41.1249
35620,Suffolk County,NY,1209750,-72.9176,40.9086
35620,Rockland County,NY,1209750,-74.0653,41.1589
35620,Richmond County,NY,1209750,-74.1446,40.5726
