Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,636",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,258",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,402",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,839",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,573",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,543",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,343",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,687",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,247",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,146",7
