course_name,city,state,street_address,zip_code,final_acreage,acreage_source,longitude,latitude
Fireweed Meadows Golf Course,Anchor Point,AK,Mylofritz Ave,99556,,No Match Found,-151.820102,59.773222
Anchorage Golf Course,Anchorage,AK,3651 Omalley Rd,99507-4266,199.1171776,OSM (Medium Reliability),-149.814495,61.127089
Russian Jack Springs Golf Course,Anchorage,AK,1600 Lidia Selkregg Ln,99508-3131,27.75558476,OSM (Medium Reliability),-149.788303,61.206435
Tanglewood Lakes Golf Club,Anchorage,AK,11801 Brayton Dr,11801,30.23984711,OSM (Medium Reliability),-149.853757,61.113415
Eagleglen Golf Course,Elmendorf Afb,AK,4414 1st St,99506,233.7787485,OSM (Medium Reliability),-149.824373,61.233041
Fairbanks Golf and Country Club,Fairbanks,AK,1735 Farmers Loop Rd,99709-6712,75.22615326,OSM (Medium Reliability),-147.816536,64.877632
North Star Golf Course,Fairbanks,AK,330 Golf Club Dr,99712-2214,152.7560184,OSM (Medium Reliability),-147.613637,64.89708
Moose Run Golf Course,Fort Richardson,AK,27000 Artic Valley Road,27000,,No Match Found,-149.542309,61.24357
Chena Bend Golf Course,Fort Wainwright,AK,2092 Building Gafeney,99703,,No Match Found,-147.626814,64.814935
Mount Fairweather Golf Course,Gustavus,AK,1 Mile Dock Road,99826,,No Match Found,-135.742963,58.420408
Valley of the Eagles Golf Links,Haines,AK,1 1/2 Mile Haines Hwy,99827,68.54535514,OSM (Medium Reliability),-135.481298,59.239917
Black Diamond Golf Course,Healy,AK,Mile 247 George Park Hwy Otto Lake Rd,99743,,No Match Found,-149.039817,63.848484
Kachemak Bay Links Par 3 Golf,Homer,AK,56910 East Rd,56910,10.11360434,OSM (Medium Reliability),-151.370752,59.692919
Mendenhall Golf Course,Juneau,AK,The End of Industrial Blvd,99801,52.34772448,OSM (Medium Reliability),-134.610092,58.361763
Kenai Golf Course,Kenai,AK,1420 Lawton Dr,99611-8232,1.125220805,OSM (Medium Reliability),-151.183901,60.559592
Bear Valley Golf Course,Kodiak,AK,2 8 Mile Anton Larsen Bay Rd,99615,,No Match Found,-152.527572,57.772932
Cottonwood Country Club,Nikiski,AK,Mile Post 32,99635,,No Match Found,-151.291629,60.690101
Palmer Golf Course,Palmer,AK,1000 Lepak Avenue,99645,,No Match Found,-149.087712,61.584757
Sea Mountain Golf Course,Sitka,AK,301 Granite Creek Rd,99835,46.12495562,OSM (Medium Reliability),-135.395965,57.101605
Birch Ridge Golf Course Inc,Soldotna,AK,42223 Sterling Hwy,42223,67.70951151,OSM (Medium Reliability),-151.007643,60.499382
Bird Homestead Golf Course,Soldotna,AK,37109 Funny River Rd,37109,,No Match Found,-150.856551,60.498969
Settlers Bay Golf Course,Wasilla,AK,Mile 8 Knik Goose Bay Road,99687,350.6706324,OSM (Medium Reliability),-149.613961,61.504628
Sleepy Hollow Golf Course,Wasilla,AK,2721 E Sleepy Hollow Cir,99654,22.81278209,OSM (Medium Reliability),-149.382193,61.655225
Muskeg Meadows Golf Course,Wrangell,AK,Ishiyama Dr,99929,27.75943775,OSM (Medium Reliability),-132.356586,56.473241
Albertville Golf & Country Club,Albertville,AL,860 Country Club Rd,35951-3966,103.6721977,Tigris (High Reliability),-86.198381,34.296785
Willow Brook Golf Corp,Albertville,AL,134 Par Dr,35951-6165,232.8401609,OSM (Medium Reliability),-86.11883,34.3553
Willow Point Golf & Country Club,Alexander City,AL,3054 Willow Point Rd,35010-6264,206.2641856,OSM (Medium Reliability),-85.976846,32.788959
Aliceville Country Club,Aliceville,AL,Highway 14 North,35442,,No Match Found,-88.141013,33.102758
Alpine Bay Resort,Alpine,AL,9855 Renfroe Rd,35014-6711,,No Match Found,-86.300495,33.434675
Whippoorwill Golf Club,Altoona,AL,2920 County Highway 14,35952-6306,,No Match Found,-86.435707,34.113605
Evans Barnes Golf Course,Andalusia,AL,Lurleen B Wallace Jr College,36420,,No Match Found,-86.451201,31.321218
Andalusia Country Club,Andalusia,AL,210 Country Club Dr,36421-4204,,No Match Found,-86.511445,31.315197
Old Pine Golf Course,Andalusia,AL,24908 Harmony Church Rd,24908,,No Match Found,-86.377095,31.344885
Anniston Municipal Golf Course,Anniston,AL,1341 Johnston Dr,36207-4090,,No Match Found,-85.810966,33.665031
Cane Creek Golf Course,Anniston,AL,2247 Baltzell Gate Road,36205,,No Match Found,-85.792399,33.71603
Anniston Country Club,Anniston,AL,601 Highland Ave,36207-5856,90.16696622,OSM (Medium Reliability),-85.818524,33.651845
Indian Oaks Golf Club,Anniston,AL,201 Cherokee Trl,36206-1015,221.395048,OSM (Medium Reliability),-85.87225,33.730704
Pine Hill Country Club,Anniston,AL,175 Pine Hill Dr,36207-8047,130.5978043,OSM (Medium Reliability),-85.703307,33.671577
Brookside Golf Course,Arab,AL,Sundown Drive,35016,,No Match Found,-86.511111,34.326222
Twin Lakes Golf Course,Arab,AL,211 Golfview Dr NE,35016-5412,,No Match Found,-86.498066,34.343263
Clay County Golf Course,Ashland,AL,158 Country Club Rd,36251-7852,74.86612513,OSM (Medium Reliability),-85.798765,33.280444
Athens Golf & Country Club,Athens,AL,518 Hatfield Lake Rd,35611-8412,134.7333234,Tigris (High Reliability),-86.954304,34.759613
Canebrake Golf Club,Athens,AL,23015 Founders Cir,23015,502.8227862,OSM (Medium Reliability),-86.91543,34.763744
Chriswood Golf Course,Athens,AL,26181 Nick Davis Road,26181,,No Match Found,-86.857802,34.802979
Southern Gayles Golf Community,Athens,AL,22230 Mooresville Rd,22230,337.438483,OSM (Medium Reliability),-86.875101,34.879828
Atmore Country Club,Atmore,AL,4474 Highway 31 South,36504,,No Match Found,-87.492589,31.02483
Wills Creek Country Club,Attalla,AL,216 Country Club Rd,35954-2603,123.4978762,OSM (Medium Reliability),-86.096727,34.009726
Indian Pines Golf Course,Auburn,AL,900 Country Club Dr,36830-5208,152.798032,OSM (Medium Reliability),-85.441306,32.62367
The Auburn University Club,Auburn,AL,1650 Yarbrough Farms Blvd,36830-2679,272.7343753,OSM (Medium Reliability),-85.505203,32.632656
Auburn Links At Mill Creek,Auburn,AL,826 Shell Toomer Pkwy,36830-6958,184.4463096,OSM (Medium Reliability),-85.507329,32.554634
Moore's Mill Golf Club,Auburn,AL,1957 Fairway Dr,36830-7627,168.3569647,OSM (Medium Reliability),-85.445537,32.580497
Holly Hills Country Club,Bay Minette,AL,Highway 59 South,36507,65.88066272,OSM (Medium Reliability),-87.773055,30.787791
Frank House Municipal Golf Course,Bessemer,AL,801 Golf Course Rd,35022-6001,127.1463472,OSM (Medium Reliability),-86.991577,33.367315
Woodward Golf & Country Club,Bessemer,AL,2141 Wheel Dr,35020-2611,128.8655401,Tigris (High Reliability),-86.957834,33.428521
Bent Brook Golf Course,Bessemer,AL,7900 Dickey Springs Rd,35022-6378,258.66341,OSM (Medium Reliability),-86.973348,33.33316
Roebuck Municipal Golf Course,Birmingham,AL,8920 Roebuck Blvd,35206-1524,111.5372264,OSM (Medium Reliability),-86.711209,33.582031
Grayson Valley Country Club,Birmingham,AL,2201 Grayson Valley Dr,35235-2027,139.6237466,OSM (Medium Reliability),-86.642887,33.645754
Greystone Golf & Country Club,Birmingham,AL,4100 Greystone Dr,35242-6409,408.2692378,OSM (Medium Reliability),-86.651369,33.429533
Greystone Golf & Country Club,Birmingham,AL,330 Legacy Way,35242-6042,164.9706279,OSM (Medium Reliability),-86.622465,33.454637
Hoover Country Club,Birmingham,AL,3140 Club Dr,35226-2704,120.0340042,OSM (Medium Reliability),-86.81748,33.399573
Pine Tree Country Club,Birmingham,AL,5100 Pine Whispers Dr,35210-3429,170.6107831,OSM (Medium Reliability),-86.653914,33.527852
Vestavia Country Club,Birmingham,AL,400 Beaumont Dr,35216-1307,194.0405977,Tigris (High Reliability),-86.772297,33.454757
Mountain Brook Club,Birmingham,AL,19 Beechwood Rd,35213-3955,186.1114671,Tigris (High Reliability),-86.744309,33.495525
Altadena Valley Golf & Country Club,Birmingham,AL,2651 Alta Vista Dr,35243,,No Match Found,-86.748825,33.417863
Heatherwood Country Club,Birmingham,AL,400 Saint Annes Dr,35244-3621,,No Match Found,-86.749207,33.397505
Inverness Country Club,Birmingham,AL,1 Country Club Drive,35242-4031,259.5697291,Tigris (High Reliability),-86.766597,33.496983
Riverchase Country Club,Birmingham,AL,2000 Club Rd,35244-1412,4.231933012,OSM (Medium Reliability),-86.826049,33.338098
Country Club of Birmingham,Birmingham,AL,3325 Country Club Rd,35213-3636,259.5697291,Tigris (High Reliability),-86.765447,33.49841
Eagle Point Golf Club,Birmingham,AL,4500 Eagle Point Dr,35242-6906,,No Match Found,-86.669263,33.399671
Robert Trent Jones Golf Trail At Oxmoor Valley,Birmingham,AL,100 Sunbelt Pkwy,35211-5958,876.4308052,OSM (Medium Reliability),-86.877968,33.419409
Ross Bridge Golf Resort,Birmingham,AL,167 Sunbelt Pkwy,35211-5959,302.0258802,OSM (Medium Reliability),-86.879498,33.392116
West Side Golf Center,Birmingham,AL,3501 Cleburn Ave SW,35221-1031,,No Match Found,-86.89096,33.468352
Boaz Golf Club,Boaz,AL,1715 Al Highway 205,35956-5901,127.3794668,OSM (Medium Reliability),-86.153561,34.173445
Dogwood Hills Golf Course,Brewton,AL,2385 Douglas Ave,36426-3555,77.95750316,OSM (Medium Reliability),-87.068132,31.144816
Country Club of Brewton,Brewton,AL,700 Clubhouse Rd,36426-3376,,No Match Found,-87.059413,31.209551
Capstone Golf Club,Brookwood,AL,16000 Capstone Blvd,16000,,No Match Found,-87.33057,33.237681
