course_name,street_address,city,state,zip_code,course_type,holes,phone,longitude,latitude,census_name,raw_acres,dist_meters,final_acres,census_acres
Fireweed Meadows Golf Course,Mylofritz Ave,Anchor Point,AK,99556,Public,9 Holes,(907) 226-2582,-151.820102,59.773222,Golf Is,357.48677,1012595.102,250.2173126,NA
Anchorage Golf Course,3651 Omalley Rd,Anchorage,AK,99507-4266,Public,18 Holes,(907) 522-3363,-149.814495,61.127089,Golf Is,357.48677,953721.5307,235.6693589,NA
Tanglewood Lakes Golf Club,11801 Brayton Dr,Anchorage,AK,11801,Public,9 Holes,(907) 345-4600,-149.853757,61.113415,Golf Is,357.48677,955040.0527,235.9951722,NA
Russian Jack Springs Golf Course,1600 Lidia Selkregg Ln,Anchorage,AK,99508-3131,Municipal,9 Holes,(907) 343-6992,-149.788303,61.206435,Golf Is,357.48677,956038.8799,236.2419874,NA
Eagleglen Golf Course,4414 1st St,Elmendorf Afb,AK,99506,Public,18 Holes,(907) 552-3821,-149.824373,61.233041,Golf Is,357.48677,959019.1628,236.9784302,NA
North Star Golf Course,330 Golf Club Dr,Fairbanks,AK,99712-2214,Public,18 Holes,(907) 457-4653,-147.613637,64.89708,Golf Is,357.48677,1113153.76,275.0658599,NA
Fairbanks Golf and Country Club,1735 Farmers Loop Rd,Fairbanks,AK,99709-6712,Public,9 Holes,(907) 479-6555,-147.816536,64.877632,Golf Is,357.48677,1117977.871,276.2579217,NA
Moose Run Golf Course,27000 Artic Valley Road,Fort Richardson,AK,27000,Public,36 Holes,(907) 428-0056,-149.542309,61.24357,Golf Is,357.48677,945806.9433,233.7136247,NA
Chena Bend Golf Course,2092 Building Gafeney,Fort Wainwright,AK,99703,Public,18 Holes,(907) 353-6223,-147.626814,64.814935,Golf Is,357.48677,1106785.42,273.4922112,NA
Mount Fairweather Golf Course,1 Mile Dock Road,Gustavus,AK,99826,Public,9 Holes,(907) 697-2214,-135.742963,58.420408,Golf Is,357.48677,180710.9681,44.65458377,NA
Valley of the Eagles Golf Links,1 1/2 Mile Haines Hwy,Haines,AK,99827,Public,9 Holes,(907) 766-2401,-135.481298,59.239917,Golf Is,357.48677,270614.0759,66.87009122,NA
Black Diamond Golf Course,Mile 247 George Park Hwy Otto Lake Rd,Healy,AK,99743,Public,9 Holes,(907) 683-4653,-149.039817,63.848484,Golf Is,357.48677,1081207.292,267.1717279,NA
Kachemak Bay Links Par 3 Golf,56910 East Rd,Homer,AK,56910,Public,9 Holes,(907) 235-0606,-151.370752,59.692919,Golf Is,357.48677,986103.2521,243.6710441,NA
Mendenhall Golf Course,The End of Industrial Blvd,Juneau,AK,99801,Public,9 Holes,(907) 789-1221,-134.610092,58.361763,Golf Is,357.48677,178877.232,44.20145841,NA
Kenai Golf Course,1420 Lawton Dr,Kenai,AK,99611-8232,Public,18 Holes,(907) 283-7500,-151.183901,60.559592,Golf Is,357.48677,1000809.531,247.3050391,NA
Bear Valley Golf Course,2 8 Mile Anton Larsen Bay Rd,Kodiak,AK,99615,Public,9 Holes,(907) 486-9793,-152.527572,57.772932,Golf Is,357.48677,1032314.815,255.0901524,NA
Cottonwood Country Club,Mile Post 32,Nikiski,AK,99635,Public,9 Holes,(907) 776-8745,-151.291629,60.690101,Golf Is,357.48677,1010871.308,249.7913545,NA
Palmer Golf Course,1000 Lepak Avenue,Palmer,AK,99645,Municipal,18 Holes,(907) 745-4653,-149.087712,61.584757,Golf Is,357.48677,941217.3298,232.5795083,NA
Sea Mountain Golf Course,301 Granite Creek Rd,Sitka,AK,99835,Public,9 Holes,(907) 747-5663,-135.395965,57.101605,Golf Is,357.48677,32792.28075,8.103136534,NA
Bird Homestead Golf Course,37109 Funny River Rd,Soldotna,AK,37109,Public,9 Holes,(907) 260-4653,-150.856551,60.498969,Golf Is,357.48677,981698.7422,242.5826677,NA
Birch Ridge Golf Course Inc,42223 Sterling Hwy,Soldotna,AK,42223,Public,9 Holes,(907) 262-5270,-151.007643,60.499382,Golf Is,357.48677,989592.2658,244.5331968,NA
Sleepy Hollow Golf Course,2721 E Sleepy Hollow Cir,Wasilla,AK,99654,Public,9 Holes,(907) 376-5948,-149.382193,61.655225,Golf Is,357.48677,958637.806,236.884195,NA
Settlers Bay Golf Course,Mile 8 Knik Goose Bay Road,Wasilla,AK,99687,Public,18 Holes,(907) 376-5466,-149.613961,61.504628,Golf Is,357.48677,961885.0689,237.68661,NA
Muskeg Meadows Golf Course,Ishiyama Dr,Wrangell,AK,99929,Public,9 Holes,(907) 874-4653,-132.356586,56.473241,Golf Is,357.48677,188277.503,46.52431237,NA
Willow Brook Golf Corp,134 Par Dr,Albertville,AL,35951-6165,Public,18 Holes,(256) 878-6766,-86.11883,34.3553,Albertville Country Club,103.6721977,9394.995994,2.321550485,NA
Albertville Golf & Country Club,860 Country Club Rd,Albertville,AL,35951-3966,Private,18 Holes,(256) 878-4403,-86.198381,34.296785,Albertville Country Club,103.6721977,0,103.6721977,NA
Willow Point Golf & Country Club,3054 Willow Point Rd,Alexander City,AL,35010-6264,Semi Private,18 Holes,(256) 212-1409,-85.976846,32.788959,Arrowhead Country Club,170.7905339,47692.74783,11.78511645,NA
