course_id,acreage,holes,course_type,longitude,latitude,state,state_land_value
1,NA,9,Public,-151.820102,59.773222,AK,95063.63636
2,199.1171776,18,Public,-149.814495,61.127089,AK,95063.63636
3,27.75558476,9,Municipal,-149.788303,61.206435,AK,95063.63636
4,30.23984711,9,Public,-149.853757,61.113415,AK,95063.63636
5,233.7787485,18,Public,-149.824373,61.233041,AK,95063.63636
6,75.22615326,9,Public,-147.816536,64.877632,AK,95063.63636
7,152.7560184,18,Public,-147.613637,64.89708,AK,95063.63636
8,NA,36,Public,-149.542309,61.24357,AK,95063.63636
9,NA,18,Public,-147.626814,64.814935,AK,95063.63636
10,NA,9,Public,-135.742963,58.420408,AK,95063.63636
11,68.54535514,9,Public,-135.481298,59.239917,AK,95063.63636
12,NA,9,Public,-149.039817,63.848484,AK,95063.63636
13,10.11360434,9,Public,-151.370752,59.692919,AK,95063.63636
14,52.34772448,9,Public,-134.610092,58.361763,AK,95063.63636
15,1.125220805,18,Public,-151.183901,60.559592,AK,95063.63636
16,NA,9,Public,-152.527572,57.772932,AK,95063.63636
17,NA,9,Public,-151.291629,60.690101,AK,95063.63636
18,NA,18,Municipal,-149.087712,61.584757,AK,95063.63636
19,46.12495562,9,Public,-135.395965,57.101605,AK,95063.63636
20,67.70951151,9,Public,-151.007643,60.499382,AK,95063.63636
21,NA,9,Public,-150.856551,60.498969,AK,95063.63636
22,350.6706324,18,Public,-149.613961,61.504628,AK,95063.63636
23,22.81278209,9,Public,-149.382193,61.655225,AK,95063.63636
24,27.75943775,9,Public,-132.356586,56.473241,AK,95063.63636
25,103.6721977,18,Private,-86.198381,34.296785,AL,34754.54545
26,232.8401609,18,Public,-86.11883,34.3553,AL,34754.54545
27,206.2641856,18,Semi Private,-85.976846,32.788959,AL,34754.54545
28,NA,18,Private,-88.141013,33.102758,AL,34754.54545
29,NA,18,Public,-86.300495,33.434675,AL,34754.54545
30,NA,18,Public,-86.435707,34.113605,AL,34754.54545
31,NA,18,Municipal,-86.451201,31.321218,AL,34754.54545
32,NA,18,Private,-86.511445,31.315197,AL,34754.54545
33,NA,9,Public,-86.377095,31.344885,AL,34754.54545
34,NA,9,Municipal,-85.810966,33.665031,AL,34754.54545
35,NA,18,Municipal,-85.792399,33.71603,AL,34754.54545
36,90.16696622,18,Semi Private,-85.818524,33.651845,AL,34754.54545
37,221.395048,18,Public,-85.87225,33.730704,AL,34754.54545
38,130.5978043,18,Public,-85.703307,33.671577,AL,34754.54545
39,NA,18,Public,-86.511111,34.326222,AL,34754.54545
40,NA,18,Public,-86.498066,34.343263,AL,34754.54545
41,74.86612513,9,Public,-85.798765,33.280444,AL,34754.54545
42,134.7333234,9,Public,-86.954304,34.759613,AL,34754.54545
43,502.8227862,19,Public,-86.91543,34.763744,AL,34754.54545
44,NA,18,Public,-86.857802,34.802979,AL,34754.54545
45,337.438483,18,Public,-86.875101,34.879828,AL,34754.54545
46,NA,9,Private,-87.492589,31.02483,AL,34754.54545
47,123.4978762,18,Public,-86.096727,34.009726,AL,34754.54545
48,152.798032,18,Municipal,-85.441306,32.62367,AL,34754.54545
49,272.7343753,18,Semi Private,-85.505203,32.632656,AL,34754.54545
50,184.4463096,18,Public,-85.507329,32.554634,AL,34754.54545
51,168.3569647,18,Public,-85.445537,32.580497,AL,34754.54545
52,65.88066272,9,Private,-87.773055,30.787791,AL,34754.54545
53,127.1463472,18,Municipal,-86.991577,33.367315,AL,34754.54545
54,128.8655401,18,Private,-86.957834,33.428521,AL,34754.54545
55,258.66341,54,Public,-86.973348,33.33316,AL,34754.54545
56,111.5372264,18,Municipal,-86.711209,33.582031,AL,34754.54545
57,139.6237466,18,Private,-86.642887,33.645754,AL,34754.54545
58,408.2692378,18,Private,-86.651369,33.429533,AL,34754.54545
59,164.9706279,18,Private,-86.622465,33.454637,AL,34754.54545
60,120.0340042,18,Private,-86.81748,33.399573,AL,34754.54545
61,170.6107831,18,Private,-86.653914,33.527852,AL,34754.54545
62,194.0405977,27,Private,-86.772297,33.454757,AL,34754.54545
