TMK,dominant_zone_class,golf_clipped_acres,recorded_area_acres,course_name,expected_taxable,dominant_zone_description,geometry_reproduced_this_run
91056004,A-1,1.029906057472687,29.861,Ko Olina Golf Club,TRUE,A-1 Low-density Apartment District,TRUE
91061039,A-1,0.45344630438476424,1.739,Coral Creek Golf Course,TRUE,A-1 Low-density Apartment District,TRUE
91061031,A-1,0.3462401328082908,2.441,Coral Creek Golf Course,TRUE,A-1 Low-density Apartment District,TRUE
91061029,A-1,0.3027945995135852,2.059,Coral Creek Golf Course,TRUE,A-1 Low-density Apartment District,TRUE
98011041,A-1,0.2531957335357768,NA,Pearl Country Club,TRUE,A-1 Low-density Apartment District,TRUE
91061030,A-1,0.24012442201769787,1.838,Coral Creek Golf Course,TRUE,A-1 Low-density Apartment District,TRUE
57001027,A-1,0.14402473761560206,14.865,Kulima Golf Course,TRUE,A-1 Low-density Apartment District,TRUE
91061038,A-1,0.09963645535582763,1.585,Coral Creek Golf Course,TRUE,A-1 Low-density Apartment District,TRUE
91164030,A-1,0.08771445931198392,0.947,Coral Creek Golf Course,TRUE,A-1 Low-density Apartment District,TRUE
91056014,A-1,0.01931236501701694,19.621,Ko Olina Golf Club,TRUE,A-1 Low-density Apartment District,TRUE
98011052,A-1,0.016002230716973195,NA,Pearl Country Club,TRUE,A-1 Low-density Apartment District,TRUE
98040002,A-1,0.012731639531688526,NA,Pearl Country Club,TRUE,A-1 Low-density Apartment District,TRUE
91164028,A-1,0.011985770760784453,6.741,Coral Creek Golf Course,TRUE,A-1 Low-density Apartment District,TRUE
91164029,A-1,0.0028818111392748193,6.804,Coral Creek Golf Course,TRUE,A-1 Low-density Apartment District,TRUE
91116004,A-1,7.034812155437578e-6,1.037,Coral Creek Golf Course,TRUE,A-1 Low-density Apartment District,TRUE
91134042,A-2,4.1349100795136,5.055,Hoakalei Country Club,TRUE,A-2 Medium-density Apartment District,TRUE
91015083,A-2,1.5709669021035062,376.912,Ko Olina Golf Club,TRUE,A-2 Medium-density Apartment District,TRUE
