zone_class,zoning_description,golf_acres,county_total_acres,pct_zone_as_golf
Resort,Resort District,130.75590138467203,513.7214470993322,25.452684937132737
P-2,P-2 General Preservation District,3206.1985743189166,17259.710346371172,18.576201511939132
B-1,B-1 Neighborhood Business District,13.313621582390159,399.12553114231565,3.3356978052208186
F-1,F-1 Federal and Military Preservation District,1002.2949602050377,38561.185279443125,2.599232759422877
C,Country District,60.74096415277043,3254.359394080006,1.8664491777787082
AG-2,AG-2 General Agriculture District,621.6907994714148,41760.292758491174,1.488712742189782
R-20,R-20 Residential District,3.087117969086258,521.1656978698048,0.5923486487511439
AG-1,AG-1 Restricted Agriculture District,213.66364516233054,63462.51658026386,0.33667691840127495
P-1,P-1 Restricted Preservation District,523.6740362584052,157430.087201319,0.33263910702707006
A-2,A-2 Medium-density Apartment District,8.932451404565544,2930.2269704452647,0.3048382085981622
BMX-3,BMX-3 Community Business Mixed Use District,4.932673597801745,2130.3105619968487,0.2315471596393954
B-2,B-2 Community Business District,3.4733139106002953,1656.3797815449009,0.20969308785940052
R-5,R-5 Residential District,35.14603543514974,26650.788023865305,0.13187615842232167
R-3.5,R-3.5 Residential District,2.2440513843394023,1735.0971526960534,0.12933289532822517
A-1,A-1 Low-density Apartment District,3.9900578652289775,3275.8913250644914,0.1218006786336365
R-10,R-10 Residential District,4.549865384699285,5022.681871410845,0.09058637399667226
R-7.5,R-7.5 Residential District,4.40910453934562,6341.022604794437,0.06953302036822741
IMX-1,IMX-1 Industrial Mixed Use District,0.3599459181016923,1119.8812206485075,0.032141437097521174
I-2,I-2 Intensive Industrial District,1.5883709491141393,6111.289677551138,0.025990765172673295
