zone_class,zoning_description,acres,fragments,pct_of_total
P-2,P-2 General Preservation District,3206.1985743189166,23,54.8532698216613
F-1,F-1 Federal and Military Preservation District,1002.2949602050377,15,17.14777005185877
AG-2,AG-2 General Agriculture District,621.6907994714148,14,10.636201214172763
P-1,P-1 Restricted Preservation District,523.6740362584052,10,8.959280763070877
AG-1,AG-1 Restricted Agriculture District,213.66364516233054,11,3.655465906898387
Resort,Resort District,130.75590138467203,5,2.237038216184586
C,Country District,60.74096415277043,6,1.039187192766919
R-5,R-5 Residential District,35.14603543514974,29,0.601296183064853
B-1,B-1 Neighborhood Business District,13.313621582390159,4,0.22777618417395595
A-2,A-2 Medium-density Apartment District,8.932451404565544,11,0.15282090478990218
BMX-3,BMX-3 Community Business Mixed Use District,4.932673597801745,1,0.08439067934520587
R-10,R-10 Residential District,4.549865384699285,3,0.07784140246277889
R-7.5,R-7.5 Residential District,4.40910453934562,10,0.07543319459556969
A-1,A-1 Low-density Apartment District,3.9900578652289775,8,0.06826393175972902
B-2,B-2 Community Business District,3.4733139106002953,4,0.05942321434471966
R-20,R-20 Residential District,3.087117969086258,1,0.052815978488032246
R-3.5,R-3.5 Residential District,2.2440513843394023,3,0.03839236816608909
I-2,I-2 Intensive Industrial District,1.5883709491141393,2,0.027174655040558222
IMX-1,IMX-1 Industrial Mixed Use District,0.3599459181016923,1,0.006158137155005108
