timestamp_utc,phase,language,script,git_sha,git_dirty,M,maxit,n_workers,seed,wall_time_sec,host,os,lang_version,key_packages
"2026-07-27T08:08:45Z","Phase 1","Julia","Phase_1.jl",,,,,"16",,"38.513999938964844","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","CSV=0.10.16;DataFrames=1.8.2;GeoDataFrames=0.4.2;ArchGDAL=0.10.11;Mice=0.4.1;CairoMakie=0.15.11"
"2026-07-27T08:09:14Z","Phase 2","Julia","Phase_2.jl",,,,,"16",,"26.875","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","CSV=0.10.16;DataFrames=1.8.2;GeoDataFrames=0.4.2;ArchGDAL=0.10.11;Mice=0.4.1;CairoMakie=0.15.11"
"2026-07-27T08:10:16Z","Phase 3","Julia","Phase_3.jl","3ab975080731fa71ce4a0fe7fef0a068b8059813","true","100","10","16","42","53.289000034332275","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","CSV=0.10.16;DataFrames=1.8.2;GeoDataFrames=0.4.2;ArchGDAL=0.10.11;Mice=0.4.1;CairoMakie=0.15.11"
"2026-07-27T08:10:47Z","Phase 4","Julia","Phase_4.jl","3ab975080731fa71ce4a0fe7fef0a068b8059813","true",,,"16",,"28.377000093460083","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","CSV=0.10.16;DataFrames=1.8.2;GeoDataFrames=0.4.2;ArchGDAL=0.10.11;Mice=0.4.1;CairoMakie=0.15.11"
"2026-07-27T08:11:42Z","Phase 5","Julia","Phase_5.jl",,,,,"16",,"53.032999992370605","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","CSV=0.10.16;DataFrames=1.8.2;GeoDataFrames=0.4.2;ArchGDAL=0.10.11;Mice=0.4.1;CairoMakie=0.15.11"
"2026-07-27T22:58:53Z","Phase 1","Julia","Phase_1.jl",,,,,"16",,"45.204999923706055","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","DataFrames=1.8.2;GeoDataFrames=0.4.2;Mice=0.4.1;CSV=0.10.16;ArchGDAL=0.10.11;CairoMakie=0.15.11"
"2026-07-27T22:59:29Z","Phase 2","Julia","Phase_2.jl",,,,,"16",,"33.47699999809265","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","DataFrames=1.8.2;GeoDataFrames=0.4.2;Mice=0.4.1;CSV=0.10.16;ArchGDAL=0.10.11;CairoMakie=0.15.11"
"2026-07-28T00:11:01Z","Phase 3","Julia","Phase_3.jl","fb5868d1f1ca43c7ea72c8ed697ecf3724c1b549","true","100","10","16","42","4285.9909999370575","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","DataFrames=1.8.2;GeoDataFrames=0.4.2;Mice=0.4.1;CSV=0.10.16;ArchGDAL=0.10.11;CairoMakie=0.15.11"
"2026-07-28T00:11:37Z","Phase 4","Julia","Phase_4.jl","fb5868d1f1ca43c7ea72c8ed697ecf3724c1b549","true",,,"16",,"33.78699994087219","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","DataFrames=1.8.2;GeoDataFrames=0.4.2;Mice=0.4.1;CSV=0.10.16;ArchGDAL=0.10.11;CairoMakie=0.15.11"
"2026-07-28T00:12:50Z","Phase 5","Julia","Phase_5.jl",,,,,"16",,"69.89100003242493","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","DataFrames=1.8.2;GeoDataFrames=0.4.2;Mice=0.4.1;CSV=0.10.16;ArchGDAL=0.10.11;CairoMakie=0.15.11"
"2026-07-28T09:21:25Z","Phase 5","Julia","Phase_5.jl","63237ddda482792e10d73fbbfc674169e58dd118","true",,,"1",,"78.09899997711182","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","DataFrames=1.8.2;GeoDataFrames=0.4.2;Mice=0.4.1;CSV=0.10.16;ArchGDAL=0.10.11;CairoMakie=0.15.11"
"2026-07-28T09:56:43Z","Phase 6","Julia","Phase_6.jl","e1bf777b8c5631d36857426547bc9be8265bed7e","true",,,"16",,"187.34099984169006","HomeTex","NT x86_64-w64-mingw32","Julia 1.12.6","DataFrames=1.8.2;GeoDataFrames=0.4.2;Mice=0.4.1;CSV=0.10.16;ArchGDAL=0.10.11;CairoMakie=0.15.11"
