course_name,street_address,city,state,zip_code,course_type,holes,phone,longitude,latitude,census_name,raw_acres,dist_meters,final_acres
Fireweed Meadows Golf Course,Mylofritz Ave,Anchor Point,AK,99556,Public,9 Holes,(907) 226-2582,-151.820102,59.773222,NA,NA,NA,NA
Anchorage Golf Course,3651 Omalley Rd,Anchorage,AK,99507-4266,Public,18 Holes,(907) 522-3363,-149.814495,61.127089,NA,NA,NA,NA
Russian Jack Springs Golf Course,1600 Lidia Selkregg Ln,Anchorage,AK,99508-3131,Municipal,9 Holes,(907) 343-6992,-149.788303,61.206435,NA,NA,NA,NA
Tanglewood Lakes Golf Club,11801 Brayton Dr,Anchorage,AK,11801,Public,9 Holes,(907) 345-4600,-149.853757,61.113415,NA,NA,NA,NA
Eagleglen Golf Course,4414 1st St,Elmendorf Afb,AK,99506,Public,18 Holes,(907) 552-3821,-149.824373,61.233041,NA,NA,NA,NA
Fairbanks Golf and Country Club,1735 Farmers Loop Rd,Fairbanks,AK,99709-6712,Public,9 Holes,(907) 479-6555,-147.816536,64.877632,NA,NA,NA,NA
North Star Golf Course,330 Golf Club Dr,Fairbanks,AK,99712-2214,Public,18 Holes,(907) 457-4653,-147.613637,64.89708,NA,NA,NA,NA
Moose Run Golf Course,27000 Artic Valley Road,Fort Richardson,AK,27000,Public,36 Holes,(907) 428-0056,-149.542309,61.24357,NA,NA,NA,NA
Chena Bend Golf Course,2092 Building Gafeney,Fort Wainwright,AK,99703,Public,18 Holes,(907) 353-6223,-147.626814,64.814935,NA,NA,NA,NA
Mount Fairweather Golf Course,1 Mile Dock Road,Gustavus,AK,99826,Public,9 Holes,(907) 697-2214,-135.742963,58.420408,NA,NA,NA,NA
Valley of the Eagles Golf Links,1 1/2 Mile Haines Hwy,Haines,AK,99827,Public,9 Holes,(907) 766-2401,-135.481298,59.239917,NA,NA,NA,NA
Black Diamond Golf Course,Mile 247 George Park Hwy Otto Lake Rd,Healy,AK,99743,Public,9 Holes,(907) 683-4653,-149.039817,63.848484,NA,NA,NA,NA
Kachemak Bay Links Par 3 Golf,56910 East Rd,Homer,AK,56910,Public,9 Holes,(907) 235-0606,-151.370752,59.692919,NA,NA,NA,NA
Mendenhall Golf Course,The End of Industrial Blvd,Juneau,AK,99801,Public,9 Holes,(907) 789-1221,-134.610092,58.361763,NA,NA,NA,NA
Kenai Golf Course,1420 Lawton Dr,Kenai,AK,99611-8232,Public,18 Holes,(907) 283-7500,-151.183901,60.559592,NA,NA,NA,NA
Bear Valley Golf Course,2 8 Mile Anton Larsen Bay Rd,Kodiak,AK,99615,Public,9 Holes,(907) 486-9793,-152.527572,57.772932,NA,NA,NA,NA
Cottonwood Country Club,Mile Post 32,Nikiski,AK,99635,Public,9 Holes,(907) 776-8745,-151.291629,60.690101,NA,NA,NA,NA
Palmer Golf Course,1000 Lepak Avenue,Palmer,AK,99645,Municipal,18 Holes,(907) 745-4653,-149.087712,61.584757,NA,NA,NA,NA
Sea Mountain Golf Course,301 Granite Creek Rd,Sitka,AK,99835,Public,9 Holes,(907) 747-5663,-135.395965,57.101605,NA,NA,NA,NA
Birch Ridge Golf Course Inc,42223 Sterling Hwy,Soldotna,AK,42223,Public,9 Holes,(907) 262-5270,-151.007643,60.499382,NA,NA,NA,NA
Bird Homestead Golf Course,37109 Funny River Rd,Soldotna,AK,37109,Public,9 Holes,(907) 260-4653,-150.856551,60.498969,NA,NA,NA,NA
Settlers Bay Golf Course,Mile 8 Knik Goose Bay Road,Wasilla,AK,99687,Public,18 Holes,(907) 376-5466,-149.613961,61.504628,NA,NA,NA,NA
Sleepy Hollow Golf Course,2721 E Sleepy Hollow Cir,Wasilla,AK,99654,Public,9 Holes,(907) 376-5948,-149.382193,61.655225,NA,NA,NA,NA
Muskeg Meadows Golf Course,Ishiyama Dr,Wrangell,AK,99929,Public,9 Holes,(907) 874-4653,-132.356586,56.473241,NA,NA,NA,NA
Albertville Golf & Country Club,860 Country Club Rd,Albertville,AL,35951-3966,Private,18 Holes,(256) 878-4403,-86.198381,34.296785,Albertville Country Club,103.67219765640826,0,103.67219765640826
Willow Brook Golf Corp,134 Par Dr,Albertville,AL,35951-6165,Public,18 Holes,(256) 878-6766,-86.11883,34.3553,Albertville Country Club,103.67219765640826,9394.995994141538,NA
Willow Point Golf & Country Club,3054 Willow Point Rd,Alexander City,AL,35010-6264,Semi Private,18 Holes,(256) 212-1409,-85.976846,32.788959,Arrowhead Country Club,170.79053391072802,47692.74782638301,NA
Aliceville Country Club,Highway 14 North,Aliceville,AL,35442,Private,18 Holes,(205) 367-7868,-88.141013,33.102758,Country Club of Tuscaloosa,92.87102200003747,51956.83851915793,NA
Alpine Bay Resort,9855 Renfroe Rd,Alpine,AL,35014-6711,Public,18 Holes,(256) 268-2920,-86.300495,33.434675,Mountain-Brook Country Club,186.11146708208878,40805.2777278392,NA
Whippoorwill Golf Club,2920 County Highway 14,Altoona,AL,35952-6306,Public,18 Holes,(205) 466-7003,-86.435707,34.113605,Arab Country Club,105.86651118903929,24826.191988063332,NA
Evans Barnes Golf Course,Lurleen B Wallace Jr College,Andalusia,AL,36420,Municipal,18 Holes,(334) 222-8400,-86.451201,31.321218,Colonial Acres Country Club,103.97132096917149,111165.65938106351,NA
Andalusia Country Club,210 Country Club Dr,Andalusia,AL,36421-4204,Private,18 Holes,(334) 222-5282,-86.511445,31.315197,Colonial Acres Country Club,103.97132096917149,112835.97575306793,NA
Old Pine Golf Course,24908 Harmony Church Rd,Andalusia,AL,24908,Public,9 Holes,(334) 222-3242,-86.377095,31.344885,Colonial Acres Country Club,103.97132096917149,107687.96817331211,NA
Anniston Municipal Golf Course,1341 Johnston Dr,Anniston,AL,36207-4090,Municipal,9 Holes,(256) 231-7631,-85.810966,33.665031,Albertville Country Club,103.67219765640826,78262.79804507432,NA
Cane Creek Golf Course,2247 Baltzell Gate Road,Anniston,AL,36205,Municipal,18 Holes,(256) 820-9174,-85.792399,33.71603,Albertville Country Club,103.67219765640826,74114.64432981274,NA
Anniston Country Club,601 Highland Ave,Anniston,AL,36207-5856,Semi Private,18 Holes,(256) 237-8412,-85.818524,33.651845,Albertville Country Club,103.67219765640826,79258.73798769529,NA
Indian Oaks Golf Club,201 Cherokee Trl,Anniston,AL,36206-1015,Public,18 Holes,(256) 820-4030,-85.87225,33.730704,Albertville Country Club,103.67219765640826,69198.43658847749,NA
Pine Hill Country Club,175 Pine Hill Dr,Anniston,AL,36207-8047,Public,18 Holes,(256) 237-2633,-85.703307,33.671577,Albertville Country Club,103.67219765640826,82669.1552756716,NA
Brookside Golf Course,Sundown Drive,Arab,AL,35016,Public,18 Holes,(256) 586-5765,-86.511111,34.326222,Arab Country Club,105.86651118903929,942.6637183723608,NA
Twin Lakes Golf Course,211 Golfview Dr NE,Arab,AL,35016-5412,Public,18 Holes,(256) 586-3269,-86.498066,34.343263,Arab Country Club,105.86651118903929,2602.98261786736,NA
Clay County Golf Course,158 Country Club Rd,Ashland,AL,36251-7852,Public,9 Holes,(256) 354-2814,-85.798765,33.280444,Mountain-Brook Country Club,186.11146708208878,90070.14800369096,NA
Athens Golf & Country Club,518 Hatfield Lake Rd,Athens,AL,35611-8412,Public,9 Holes,(256) 232-0809,-86.954304,34.759613,Athens Country Club and Golf Cs,134.73332339174803,59.654102690327136,134.73332339174803
Canebrake Golf Club,23015 Founders Cir,Athens,AL,23015,Public,19 Holes,(256) 232-2412,-86.91543,34.763744,Athens Country Club and Golf Cs,134.73332339174803,2555.5670544942027,NA
Chriswood Golf Course,26181 Nick Davis Road,Athens,AL,26181,Public,18 Holes,(256) 232-9759,-86.857802,34.802979,Athens Country Club and Golf Cs,134.73332339174803,9171.559526671237,NA
Southern Gayles Golf Community,22230 Mooresville Rd,Athens,AL,22230,Public,18 Holes,(256) 232-9888,-86.875101,34.879828,Athens Country Club and Golf Cs,134.73332339174803,14690.752575606535,NA
Atmore Country Club,4474 Highway 31 South,Atmore,AL,36504,Private,9 Holes,(251) 368-4486,-87.492589,31.02483,Colonial Acres Country Club,103.97132096917149,183752.9764333293,NA
Wills Creek Country Club,216 Country Club Rd,Attalla,AL,35954-2603,Public,18 Holes,(256) 538-8781,-86.096727,34.009726,Albertville Country Club,103.67219765640826,32648.91515876233,NA
Indian Pines Golf Course,900 Country Club Dr,Auburn,AL,36830-5208,Municipal,18 Holes,(334) 821-0880,-85.441306,32.62367,Lakewood Golf Course,4.209170235795241,40240.9620003095,NA
The Auburn University Club,1650 Yarbrough Farms Blvd,Auburn,AL,36830-2679,Semi Private,18 Holes,(334) 821-8381,-85.505203,32.632656,Lakewood Golf Course,4.209170235795241,46246.53368589357,NA
Auburn Links At Mill Creek,826 Shell Toomer Pkwy,Auburn,AL,36830-6958,Public,18 Holes,(334) 887-5151,-85.507329,32.554634,Lakewood Golf Course,4.209170235795241,44681.27891915124,NA
Moore's Mill Golf Club,1957 Fairway Dr,Auburn,AL,36830-7627,Public,18 Holes,(334) 826-8989,-85.445537,32.580497,Lakewood Golf Course,4.209170235795241,39395.743034804924,NA
Holly Hills Country Club,Highway 59 South,Bay Minette,AL,36507,Private,9 Holes,(251) 937-8230,-87.773055,30.787791,Colonial Acres Country Club,103.97132096917149,221091.5365681245,NA
Frank House Municipal Golf Course,801 Golf Course Rd,Bessemer,AL,35022-6001,Municipal,18 Holes,(205) 424-9540,-86.991577,33.367315,Woodward Country Club,128.86554008924048,7158.034943203497,NA
Woodward Golf & Country Club,2141 Wheel Dr,Bessemer,AL,35020-2611,Private,18 Holes,(205) 424-5500,-86.957834,33.428521,Woodward Country Club,128.86554008924048,0,128.86554008924048
Bent Brook Golf Course,7900 Dickey Springs Rd,Bessemer,AL,35022-6378,Public,54 Holes,(205) 424-2368,-86.973348,33.33316,Woodward Country Club,128.86554008924048,10618.86264678571,NA
Roebuck Municipal Golf Course,8920 Roebuck Blvd,Birmingham,AL,35206-1524,Municipal,18 Holes,(205) 836-7318,-86.711209,33.582031,Mountain-Brook Country Club,186.11146708208878,9267.44373833157,NA
Grayson Valley Country Club,2201 Grayson Valley Dr,Birmingham,AL,35235-2027,Private,18 Holes,(205) 854-2382,-86.642887,33.645754,Mountain-Brook Country Club,186.11146708208878,18197.307061285195,NA
Greystone Golf & Country Club,4100 Greystone Dr,Birmingham,AL,35242-6409,Private,18 Holes,(205) 986-5125,-86.651369,33.429533,Mountain-Brook Country Club,186.11146708208878,10477.659060749278,NA
Greystone Golf & Country Club,330 Legacy Way,Birmingham,AL,35242-6042,Private,18 Holes,(205) 986-5160,-86.622465,33.454637,Mountain-Brook Country Club,186.11146708208878,11275.263611105034,NA
