"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,550",""
"SURVEY","2025","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,150",""
"SURVEY","2025","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,400",""
"SURVEY","2025","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","8,150",""
"SURVEY","2025","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,180",""
"SURVEY","2025","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","950",""
"SURVEY","2025","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,720",""
"SURVEY","2025","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,250",""
"SURVEY","2025","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,370",""
"SURVEY","2025","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","17,940",""
"SURVEY","2025","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","13,700",""
"SURVEY","2025","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,080",""
"SURVEY","2025","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,880",""
"SURVEY","2025","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,290",""
"SURVEY","2025","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","1,150",""
"SURVEY","2025","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","22,700",""
"SURVEY","2025","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","14,400",""
"SURVEY","2025","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","12,700",""
"SURVEY","2025","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,300",""
"SURVEY","2025","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,550",""
"SURVEY","2025","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","7,650",""
"SURVEY","2025","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","10,550",""
"SURVEY","2025","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","8,700",""
"SURVEY","2025","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","7,400",""
"SURVEY","2025","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,520",""
"SURVEY","2025","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,720",""
"SURVEY","2025","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,900",""
"SURVEY","2025","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,050",""
"SURVEY","2025","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,580",""
"SURVEY","2025","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,400",""
"SURVEY","2025","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,850",""
"SURVEY","2025","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","8,930",""
"SURVEY","2025","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,200",""
"SURVEY","2025","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","8,250",""
"SURVEY","2025","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","8,850",""
"SURVEY","2025","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,790",""
"SURVEY","2025","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","10,300",""
"SURVEY","2025","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,790",""
"SURVEY","2025","YEAR","","STATE","IOWA","19","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,650",""
"SURVEY","2025","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,440",""
"SURVEY","2025","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,100",""
"SURVEY","2025","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,270",""
"SURVEY","2025","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,450",""
"SURVEY","2025","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","5,480",""
"SURVEY","2025","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,900",""
"SURVEY","2025","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,570",""
"SURVEY","2025","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,850",""
"SURVEY","2025","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,490",""
"SURVEY","2025","YEAR","","STATE","MAINE","23","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,600",""
"SURVEY","2025","YEAR","","STATE","MAINE","23","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,350",""
"SURVEY","2025","YEAR","","STATE","MAINE","23","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,600",""
"SURVEY","2025","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","8,990",""
"SURVEY","2025","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,750",""
