course_name,street_address,city,state,zip_code,course_type,holes,phone,longitude,latitude
Fireweed Meadows Golf Course,Mylofritz Ave,Anchor Point,AK,99556,Public,9 Holes,(907) 226-2582,-151.820102,59.773222
Anchorage Golf Course,3651 Omalley Rd,Anchorage,AK,99507-4266,Public,18 Holes,(907) 522-3363,-149.814495,61.127089
Russian Jack Springs Golf Course,1600 Lidia Selkregg Ln,Anchorage,AK,99508-3131,Municipal,9 Holes,(907) 343-6992,-149.788303,61.206435
Tanglewood Lakes Golf Club,11801 Brayton Dr,Anchorage,AK,11801,Public,9 Holes,(907) 345-4600,-149.853757,61.113415
Eagleglen Golf Course,4414 1st St,Elmendorf Afb,AK,99506,Public,18 Holes,(907) 552-3821,-149.824373,61.233041
Fairbanks Golf and Country Club,1735 Farmers Loop Rd,Fairbanks,AK,99709-6712,Public,9 Holes,(907) 479-6555,-147.816536,64.877632
North Star Golf Course,330 Golf Club Dr,Fairbanks,AK,99712-2214,Public,18 Holes,(907) 457-4653,-147.613637,64.89708
Moose Run Golf Course,27000 Artic Valley Road,Fort Richardson,AK,27000,Public,36 Holes,(907) 428-0056,-149.542309,61.24357
Chena Bend Golf Course,2092 Building Gafeney,Fort Wainwright,AK,99703,Public,18 Holes,(907) 353-6223,-147.626814,64.814935
Mount Fairweather Golf Course,1 Mile Dock Road,Gustavus,AK,99826,Public,9 Holes,(907) 697-2214,-135.742963,58.420408
Valley of the Eagles Golf Links,1 1/2 Mile Haines Hwy,Haines,AK,99827,Public,9 Holes,(907) 766-2401,-135.481298,59.239917
Black Diamond Golf Course,Mile 247 George Park Hwy Otto Lake Rd,Healy,AK,99743,Public,9 Holes,(907) 683-4653,-149.039817,63.848484
Kachemak Bay Links Par 3 Golf,56910 East Rd,Homer,AK,56910,Public,9 Holes,(907) 235-0606,-151.370752,59.692919
Mendenhall Golf Course,The End of Industrial Blvd,Juneau,AK,99801,Public,9 Holes,(907) 789-1221,-134.610092,58.361763
Kenai Golf Course,1420 Lawton Dr,Kenai,AK,99611-8232,Public,18 Holes,(907) 283-7500,-151.183901,60.559592
Bear Valley Golf Course,2 8 Mile Anton Larsen Bay Rd,Kodiak,AK,99615,Public,9 Holes,(907) 486-9793,-152.527572,57.772932
Cottonwood Country Club,Mile Post 32,Nikiski,AK,99635,Public,9 Holes,(907) 776-8745,-151.291629,60.690101
Palmer Golf Course,1000 Lepak Avenue,Palmer,AK,99645,Municipal,18 Holes,(907) 745-4653,-149.087712,61.584757
Sea Mountain Golf Course,301 Granite Creek Rd,Sitka,AK,99835,Public,9 Holes,(907) 747-5663,-135.395965,57.101605
Birch Ridge Golf Course Inc,42223 Sterling Hwy,Soldotna,AK,42223,Public,9 Holes,(907) 262-5270,-151.007643,60.499382
Bird Homestead Golf Course,37109 Funny River Rd,Soldotna,AK,37109,Public,9 Holes,(907) 260-4653,-150.856551,60.498969
Settlers Bay Golf Course,Mile 8 Knik Goose Bay Road,Wasilla,AK,99687,Public,18 Holes,(907) 376-5466,-149.613961,61.504628
Sleepy Hollow Golf Course,2721 E Sleepy Hollow Cir,Wasilla,AK,99654,Public,9 Holes,(907) 376-5948,-149.382193,61.655225
Muskeg Meadows Golf Course,Ishiyama Dr,Wrangell,AK,99929,Public,9 Holes,(907) 874-4653,-132.356586,56.473241
Albertville Golf & Country Club,860 Country Club Rd,Albertville,AL,35951-3966,Private,18 Holes,(256) 878-4403,-86.198381,34.296785
Willow Brook Golf Corp,134 Par Dr,Albertville,AL,35951-6165,Public,18 Holes,(256) 878-6766,-86.11883,34.3553
Willow Point Golf & Country Club,3054 Willow Point Rd,Alexander City,AL,35010-6264,Semi Private,18 Holes,(256) 212-1409,-85.976846,32.788959
Aliceville Country Club,Highway 14 North,Aliceville,AL,35442,Private,18 Holes,(205) 367-7868,-88.141013,33.102758
Alpine Bay Resort,9855 Renfroe Rd,Alpine,AL,35014-6711,Public,18 Holes,(256) 268-2920,-86.300495,33.434675
Whippoorwill Golf Club,2920 County Highway 14,Altoona,AL,35952-6306,Public,18 Holes,(205) 466-7003,-86.435707,34.113605
Evans Barnes Golf Course,Lurleen B Wallace Jr College,Andalusia,AL,36420,Municipal,18 Holes,(334) 222-8400,-86.451201,31.321218
Andalusia Country Club,210 Country Club Dr,Andalusia,AL,36421-4204,Private,18 Holes,(334) 222-5282,-86.511445,31.315197
Old Pine Golf Course,24908 Harmony Church Rd,Andalusia,AL,24908,Public,9 Holes,(334) 222-3242,-86.377095,31.344885
Anniston Municipal Golf Course,1341 Johnston Dr,Anniston,AL,36207-4090,Municipal,9 Holes,(256) 231-7631,-85.810966,33.665031
Cane Creek Golf Course,2247 Baltzell Gate Road,Anniston,AL,36205,Municipal,18 Holes,(256) 820-9174,-85.792399,33.71603
Anniston Country Club,601 Highland Ave,Anniston,AL,36207-5856,Semi Private,18 Holes,(256) 237-8412,-85.818524,33.651845
Indian Oaks Golf Club,201 Cherokee Trl,Anniston,AL,36206-1015,Public,18 Holes,(256) 820-4030,-85.87225,33.730704
Pine Hill Country Club,175 Pine Hill Dr,Anniston,AL,36207-8047,Public,18 Holes,(256) 237-2633,-85.703307,33.671577
Brookside Golf Course,Sundown Drive,Arab,AL,35016,Public,18 Holes,(256) 586-5765,-86.511111,34.326222
Twin Lakes Golf Course,211 Golfview Dr NE,Arab,AL,35016-5412,Public,18 Holes,(256) 586-3269,-86.498066,34.343263
Clay County Golf Course,158 Country Club Rd,Ashland,AL,36251-7852,Public,9 Holes,(256) 354-2814,-85.798765,33.280444
Athens Golf & Country Club,518 Hatfield Lake Rd,Athens,AL,35611-8412,Public,9 Holes,(256) 232-0809,-86.954304,34.759613
Canebrake Golf Club,23015 Founders Cir,Athens,AL,23015,Public,19 Holes,(256) 232-2412,-86.91543,34.763744
