Metric,Value
Pooled Aggregate National Value ($),950637129274.93
Pooled Aggregate National Value ($B),950.637
Within-Imputation Variance (v_w),2.1370e+16
Between-Imputation Variance (v_b),1.6759e+19
Total Variance (v_t),1.6948e+19
Standard Error ($),4116822330.12
99% CI Lower ($B),940.032
99% CI Upper ($B),961.242
95% CI Lower ($B),942.568
95% CI Upper ($B),958.706
Dataset 1 Aggregate ($B),953.408
Dataset 2 Aggregate ($B),955.377
Dataset 3 Aggregate ($B),953.834
Dataset 4 Aggregate ($B),946.963
Dataset 5 Aggregate ($B),949.842
Dataset 6 Aggregate ($B),956.577
Dataset 7 Aggregate ($B),952.951
Dataset 8 Aggregate ($B),948.592
Dataset 9 Aggregate ($B),953.485
Dataset 10 Aggregate ($B),949.013
Dataset 11 Aggregate ($B),952.275
Dataset 12 Aggregate ($B),954.149
Dataset 13 Aggregate ($B),956.958
Dataset 14 Aggregate ($B),949.993
Dataset 15 Aggregate ($B),942.680
Dataset 16 Aggregate ($B),957.564
Dataset 17 Aggregate ($B),948.406
Dataset 18 Aggregate ($B),953.384
Dataset 19 Aggregate ($B),947.628
Dataset 20 Aggregate ($B),950.950
Dataset 21 Aggregate ($B),949.278
Dataset 22 Aggregate ($B),945.676
Dataset 23 Aggregate ($B),954.383
Dataset 24 Aggregate ($B),953.321
Dataset 25 Aggregate ($B),942.206
Dataset 26 Aggregate ($B),947.361
Dataset 27 Aggregate ($B),956.380
Dataset 28 Aggregate ($B),951.928
Dataset 29 Aggregate ($B),948.655
Dataset 30 Aggregate ($B),953.962
Dataset 31 Aggregate ($B),948.719
Dataset 32 Aggregate ($B),941.121
Dataset 33 Aggregate ($B),955.310
Dataset 34 Aggregate ($B),954.799
Dataset 35 Aggregate ($B),951.196
Dataset 36 Aggregate ($B),946.489
Dataset 37 Aggregate ($B),949.109
Dataset 38 Aggregate ($B),956.837
Dataset 39 Aggregate ($B),951.237
Dataset 40 Aggregate ($B),949.102
Dataset 41 Aggregate ($B),953.405
Dataset 42 Aggregate ($B),946.587
Dataset 43 Aggregate ($B),952.682
Dataset 44 Aggregate ($B),942.944
Dataset 45 Aggregate ($B),951.670
Dataset 46 Aggregate ($B),947.596
Dataset 47 Aggregate ($B),950.060
Dataset 48 Aggregate ($B),954.154
Dataset 49 Aggregate ($B),953.206
Dataset 50 Aggregate ($B),955.569
Dataset 51 Aggregate ($B),947.813
Dataset 52 Aggregate ($B),949.951
Dataset 53 Aggregate ($B),949.578
Dataset 54 Aggregate ($B),945.959
Dataset 55 Aggregate ($B),953.372
Dataset 56 Aggregate ($B),958.729
Dataset 57 Aggregate ($B),954.131
Dataset 58 Aggregate ($B),950.882
Dataset 59 Aggregate ($B),958.843
Dataset 60 Aggregate ($B),946.520
Dataset 61 Aggregate ($B),948.261
Dataset 62 Aggregate ($B),946.699
Dataset 63 Aggregate ($B),946.705
Dataset 64 Aggregate ($B),946.136
Dataset 65 Aggregate ($B),953.911
Dataset 66 Aggregate ($B),955.312
Dataset 67 Aggregate ($B),953.516
Dataset 68 Aggregate ($B),952.815
Dataset 69 Aggregate ($B),951.734
Dataset 70 Aggregate ($B),947.935
Dataset 71 Aggregate ($B),949.586
Dataset 72 Aggregate ($B),951.041
Dataset 73 Aggregate ($B),954.047
Dataset 74 Aggregate ($B),948.862
Dataset 75 Aggregate ($B),946.099
Dataset 76 Aggregate ($B),955.859
Dataset 77 Aggregate ($B),951.396
Dataset 78 Aggregate ($B),950.249
Dataset 79 Aggregate ($B),943.807
Dataset 80 Aggregate ($B),948.692
Dataset 81 Aggregate ($B),947.327
Dataset 82 Aggregate ($B),950.289
Dataset 83 Aggregate ($B),947.985
Dataset 84 Aggregate ($B),947.875
Dataset 85 Aggregate ($B),952.346
Dataset 86 Aggregate ($B),951.698
Dataset 87 Aggregate ($B),948.086
Dataset 88 Aggregate ($B),950.290
Dataset 89 Aggregate ($B),954.301
Dataset 90 Aggregate ($B),950.063
Dataset 91 Aggregate ($B),944.673
Dataset 92 Aggregate ($B),954.426
Dataset 93 Aggregate ($B),942.295
Dataset 94 Aggregate ($B),951.365
Dataset 95 Aggregate ($B),943.721
Dataset 96 Aggregate ($B),944.263
Dataset 97 Aggregate ($B),949.100
Dataset 98 Aggregate ($B),949.976
Dataset 99 Aggregate ($B),953.339
Dataset 100 Aggregate ($B),962.885
