Metric,Value
Pooled Aggregate National Value ($),"935,521,092,773"
Pooled Aggregate National Value ($B),935.521
Within-Imputation Variance (v_w),2.1222e+16
Between-Imputation Variance (v_b),5.7495e+18
Total Variance (v_t),5.8282e+18
Standard Error ($),"2,414,163,236"
99% CI Lower ($B),929.302
99% CI Upper ($B),941.740
95% CI Lower ($B),930.789
95% CI Upper ($B),940.253
Dataset 1 Aggregate ($B),935.497
Dataset 2 Aggregate ($B),932.724
Dataset 3 Aggregate ($B),939.996
Dataset 4 Aggregate ($B),935.688
Dataset 5 Aggregate ($B),939.955
Dataset 6 Aggregate ($B),936.680
Dataset 7 Aggregate ($B),939.028
Dataset 8 Aggregate ($B),932.886
Dataset 9 Aggregate ($B),934.278
Dataset 10 Aggregate ($B),937.049
Dataset 11 Aggregate ($B),937.880
Dataset 12 Aggregate ($B),937.269
Dataset 13 Aggregate ($B),933.696
Dataset 14 Aggregate ($B),938.496
Dataset 15 Aggregate ($B),935.559
Dataset 16 Aggregate ($B),937.232
Dataset 17 Aggregate ($B),938.188
Dataset 18 Aggregate ($B),936.751
Dataset 19 Aggregate ($B),935.993
Dataset 20 Aggregate ($B),937.856
Dataset 21 Aggregate ($B),933.744
Dataset 22 Aggregate ($B),935.889
Dataset 23 Aggregate ($B),935.916
Dataset 24 Aggregate ($B),937.829
Dataset 25 Aggregate ($B),929.105
Dataset 26 Aggregate ($B),931.889
Dataset 27 Aggregate ($B),934.717
Dataset 28 Aggregate ($B),934.878
Dataset 29 Aggregate ($B),932.454
Dataset 30 Aggregate ($B),934.206
Dataset 31 Aggregate ($B),935.616
Dataset 32 Aggregate ($B),938.753
Dataset 33 Aggregate ($B),939.086
Dataset 34 Aggregate ($B),936.570
Dataset 35 Aggregate ($B),933.462
Dataset 36 Aggregate ($B),939.896
Dataset 37 Aggregate ($B),934.486
Dataset 38 Aggregate ($B),935.963
Dataset 39 Aggregate ($B),938.471
Dataset 40 Aggregate ($B),936.133
Dataset 41 Aggregate ($B),935.644
Dataset 42 Aggregate ($B),936.548
Dataset 43 Aggregate ($B),937.124
Dataset 44 Aggregate ($B),934.186
Dataset 45 Aggregate ($B),937.322
Dataset 46 Aggregate ($B),938.685
Dataset 47 Aggregate ($B),936.035
Dataset 48 Aggregate ($B),933.846
Dataset 49 Aggregate ($B),934.972
Dataset 50 Aggregate ($B),936.571
Dataset 51 Aggregate ($B),932.295
Dataset 52 Aggregate ($B),935.601
Dataset 53 Aggregate ($B),937.663
Dataset 54 Aggregate ($B),931.998
Dataset 55 Aggregate ($B),936.814
Dataset 56 Aggregate ($B),935.591
Dataset 57 Aggregate ($B),937.413
Dataset 58 Aggregate ($B),932.847
Dataset 59 Aggregate ($B),934.493
Dataset 60 Aggregate ($B),936.985
Dataset 61 Aggregate ($B),929.553
Dataset 62 Aggregate ($B),935.721
Dataset 63 Aggregate ($B),937.392
Dataset 64 Aggregate ($B),934.491
Dataset 65 Aggregate ($B),935.396
Dataset 66 Aggregate ($B),933.031
Dataset 67 Aggregate ($B),936.879
Dataset 68 Aggregate ($B),933.712
Dataset 69 Aggregate ($B),931.902
Dataset 70 Aggregate ($B),934.658
Dataset 71 Aggregate ($B),939.412
Dataset 72 Aggregate ($B),931.053
Dataset 73 Aggregate ($B),932.343
Dataset 74 Aggregate ($B),936.068
Dataset 75 Aggregate ($B),937.114
Dataset 76 Aggregate ($B),932.366
Dataset 77 Aggregate ($B),935.032
Dataset 78 Aggregate ($B),936.985
Dataset 79 Aggregate ($B),934.381
Dataset 80 Aggregate ($B),934.638
Dataset 81 Aggregate ($B),933.594
Dataset 82 Aggregate ($B),935.499
Dataset 83 Aggregate ($B),936.474
Dataset 84 Aggregate ($B),935.385
Dataset 85 Aggregate ($B),934.255
Dataset 86 Aggregate ($B),933.475
Dataset 87 Aggregate ($B),933.090
Dataset 88 Aggregate ($B),934.631
Dataset 89 Aggregate ($B),940.734
Dataset 90 Aggregate ($B),934.784
Dataset 91 Aggregate ($B),936.034
Dataset 92 Aggregate ($B),937.007
Dataset 93 Aggregate ($B),937.415
Dataset 94 Aggregate ($B),934.622
Dataset 95 Aggregate ($B),933.527
Dataset 96 Aggregate ($B),935.880
Dataset 97 Aggregate ($B),930.863
Dataset 98 Aggregate ($B),936.926
Dataset 99 Aggregate ($B),940.807
Dataset 100 Aggregate ($B),930.583
