Metric,Value
Pooled Aggregate National Value ($),938308661557.43
Pooled Aggregate National Value ($B),938.309
Within-Imputation Variance (v_w),2.0868e+16
Between-Imputation Variance (v_b),7.3276e+18
Total Variance (v_t),7.4217e+18
Standard Error ($),2724286100.59
99% CI Lower ($B),931.291
99% CI Upper ($B),945.326
95% CI Lower ($B),932.969
95% CI Upper ($B),943.648
Dataset 1 Aggregate ($B),936.110
Dataset 2 Aggregate ($B),931.785
Dataset 3 Aggregate ($B),937.638
Dataset 4 Aggregate ($B),942.822
Dataset 5 Aggregate ($B),937.156
Dataset 6 Aggregate ($B),932.562
Dataset 7 Aggregate ($B),938.710
Dataset 8 Aggregate ($B),934.087
Dataset 9 Aggregate ($B),936.984
Dataset 10 Aggregate ($B),938.843
Dataset 11 Aggregate ($B),939.317
Dataset 12 Aggregate ($B),938.426
Dataset 13 Aggregate ($B),938.542
Dataset 14 Aggregate ($B),939.072
Dataset 15 Aggregate ($B),938.783
Dataset 16 Aggregate ($B),938.396
Dataset 17 Aggregate ($B),938.776
Dataset 18 Aggregate ($B),938.239
Dataset 19 Aggregate ($B),939.024
Dataset 20 Aggregate ($B),938.979
Dataset 21 Aggregate ($B),932.960
Dataset 22 Aggregate ($B),935.346
Dataset 23 Aggregate ($B),943.164
Dataset 24 Aggregate ($B),939.548
Dataset 25 Aggregate ($B),936.358
Dataset 26 Aggregate ($B),936.684
Dataset 27 Aggregate ($B),938.962
Dataset 28 Aggregate ($B),938.512
Dataset 29 Aggregate ($B),935.122
Dataset 30 Aggregate ($B),937.840
Dataset 31 Aggregate ($B),939.004
Dataset 32 Aggregate ($B),942.258
Dataset 33 Aggregate ($B),934.428
Dataset 34 Aggregate ($B),941.871
Dataset 35 Aggregate ($B),937.060
Dataset 36 Aggregate ($B),940.276
Dataset 37 Aggregate ($B),936.556
Dataset 38 Aggregate ($B),940.869
Dataset 39 Aggregate ($B),943.805
Dataset 40 Aggregate ($B),939.042
Dataset 41 Aggregate ($B),936.088
Dataset 42 Aggregate ($B),938.080
Dataset 43 Aggregate ($B),936.297
Dataset 44 Aggregate ($B),939.363
Dataset 45 Aggregate ($B),935.695
Dataset 46 Aggregate ($B),933.970
Dataset 47 Aggregate ($B),935.354
Dataset 48 Aggregate ($B),941.878
Dataset 49 Aggregate ($B),937.029
Dataset 50 Aggregate ($B),936.741
Dataset 51 Aggregate ($B),940.724
Dataset 52 Aggregate ($B),939.963
Dataset 53 Aggregate ($B),935.634
Dataset 54 Aggregate ($B),938.666
Dataset 55 Aggregate ($B),937.848
Dataset 56 Aggregate ($B),942.065
Dataset 57 Aggregate ($B),935.659
Dataset 58 Aggregate ($B),941.077
Dataset 59 Aggregate ($B),937.684
Dataset 60 Aggregate ($B),937.268
Dataset 61 Aggregate ($B),937.435
Dataset 62 Aggregate ($B),938.334
Dataset 63 Aggregate ($B),939.899
Dataset 64 Aggregate ($B),933.912
Dataset 65 Aggregate ($B),939.846
Dataset 66 Aggregate ($B),937.389
Dataset 67 Aggregate ($B),943.362
Dataset 68 Aggregate ($B),938.405
Dataset 69 Aggregate ($B),937.153
Dataset 70 Aggregate ($B),935.047
Dataset 71 Aggregate ($B),936.660
Dataset 72 Aggregate ($B),939.645
Dataset 73 Aggregate ($B),939.269
Dataset 74 Aggregate ($B),937.590
Dataset 75 Aggregate ($B),937.846
Dataset 76 Aggregate ($B),943.847
Dataset 77 Aggregate ($B),941.163
Dataset 78 Aggregate ($B),942.014
Dataset 79 Aggregate ($B),940.121
Dataset 80 Aggregate ($B),934.096
Dataset 81 Aggregate ($B),938.755
Dataset 82 Aggregate ($B),934.360
Dataset 83 Aggregate ($B),935.769
Dataset 84 Aggregate ($B),943.856
Dataset 85 Aggregate ($B),938.926
Dataset 86 Aggregate ($B),939.199
Dataset 87 Aggregate ($B),942.290
Dataset 88 Aggregate ($B),939.247
Dataset 89 Aggregate ($B),942.929
Dataset 90 Aggregate ($B),938.369
Dataset 91 Aggregate ($B),935.114
Dataset 92 Aggregate ($B),935.641
Dataset 93 Aggregate ($B),933.195
Dataset 94 Aggregate ($B),940.039
Dataset 95 Aggregate ($B),938.697
Dataset 96 Aggregate ($B),942.776
Dataset 97 Aggregate ($B),942.738
Dataset 98 Aggregate ($B),939.133
Dataset 99 Aggregate ($B),938.105
Dataset 100 Aggregate ($B),937.697
