zone_class,zoning_description,acres,fragments,pct_of_total
P-2,P-2 General Preservation District,3209.3606944761023,23,52.90540491730859
F-1,F-1 Federal and Military Preservation District,1002.0150991923637,15,16.51793600117074
P-1,P-1 Restricted Preservation District,744.6255827951873,11,12.274942494737909
AG-2,AG-2 General Agriculture District,621.8431631326663,13,10.250908972998474
AG-1,AG-1 Restricted Agriculture District,213.81498867110412,11,3.5246797197038284
Resort,Resort District,130.44455969392996,5,2.150341736828043
C,Country District,60.85136744169916,6,1.0031176114969382
R-5,R-5 Residential District,33.731718266842705,32,0.5560578518131336
B-1,B-1 Neighborhood Business District,13.22264927188635,4,0.21797163996329738
A-2,A-2 Medium-density Apartment District,8.755002939568252,11,0.14432375157062122
BMX-3,BMX-3 Community Business Mixed Use District,5.070574497710874,1,0.08358698896839435
R-7.5,R-7.5 Residential District,4.415217364755903,10,0.07278361166521184
R-10,R-10 Residential District,3.9971483999229025,4,0.06589186281756151
A-1,A-1 Low-density Apartment District,3.617156985780232,8,0.059627811642222875
B-2,B-2 Community Business District,3.465045761649878,5,0.05712030105952798
R-20,R-20 Residential District,3.083827766966422,1,0.05083603005028731
R-3.5,R-3.5 Residential District,1.770596411994163,3,0.02918778194140511
I-2,I-2 Intensive Industrial District,1.7237398965958022,2,0.028415365514535065
IMX-1,IMX-1 Industrial Mixed Use District,0.4164796080168291,2,0.006865548749274862
