Metric,Value
Pooled Aggregate National Value ($),954708306398.40
Pooled Aggregate National Value ($B),954.708
Within-Imputation Variance (v_w),2.1531e+16
Between-Imputation Variance (v_b),2.1424e+19
Total Variance (v_t),2.1660e+19
Standard Error ($),4654041487.72
99% CI Lower ($B),942.719
99% CI Upper ($B),966.697
95% CI Lower ($B),945.586
95% CI Upper ($B),963.830
Dataset 1 Aggregate ($B),950.626
Dataset 2 Aggregate ($B),946.865
Dataset 3 Aggregate ($B),953.815
Dataset 4 Aggregate ($B),954.358
Dataset 5 Aggregate ($B),950.954
Dataset 6 Aggregate ($B),952.259
Dataset 7 Aggregate ($B),958.021
Dataset 8 Aggregate ($B),955.048
Dataset 9 Aggregate ($B),957.349
Dataset 10 Aggregate ($B),954.443
Dataset 11 Aggregate ($B),957.076
Dataset 12 Aggregate ($B),942.824
Dataset 13 Aggregate ($B),958.768
Dataset 14 Aggregate ($B),952.651
Dataset 15 Aggregate ($B),962.319
Dataset 16 Aggregate ($B),951.956
Dataset 17 Aggregate ($B),956.923
Dataset 18 Aggregate ($B),958.071
Dataset 19 Aggregate ($B),946.779
Dataset 20 Aggregate ($B),953.857
Dataset 21 Aggregate ($B),957.495
Dataset 22 Aggregate ($B),952.985
Dataset 23 Aggregate ($B),958.411
Dataset 24 Aggregate ($B),953.323
Dataset 25 Aggregate ($B),965.547
Dataset 26 Aggregate ($B),959.456
Dataset 27 Aggregate ($B),958.733
Dataset 28 Aggregate ($B),955.503
Dataset 29 Aggregate ($B),951.042
Dataset 30 Aggregate ($B),954.034
Dataset 31 Aggregate ($B),960.073
Dataset 32 Aggregate ($B),954.429
Dataset 33 Aggregate ($B),964.908
Dataset 34 Aggregate ($B),957.382
Dataset 35 Aggregate ($B),950.239
Dataset 36 Aggregate ($B),951.575
Dataset 37 Aggregate ($B),961.915
Dataset 38 Aggregate ($B),949.267
Dataset 39 Aggregate ($B),951.420
Dataset 40 Aggregate ($B),958.782
Dataset 41 Aggregate ($B),966.964
Dataset 42 Aggregate ($B),957.166
Dataset 43 Aggregate ($B),954.156
Dataset 44 Aggregate ($B),956.691
Dataset 45 Aggregate ($B),953.450
Dataset 46 Aggregate ($B),960.818
Dataset 47 Aggregate ($B),950.203
Dataset 48 Aggregate ($B),950.351
Dataset 49 Aggregate ($B),959.593
Dataset 50 Aggregate ($B),961.681
Dataset 51 Aggregate ($B),956.115
Dataset 52 Aggregate ($B),951.259
Dataset 53 Aggregate ($B),954.571
Dataset 54 Aggregate ($B),954.246
Dataset 55 Aggregate ($B),952.717
Dataset 56 Aggregate ($B),952.942
Dataset 57 Aggregate ($B),956.399
Dataset 58 Aggregate ($B),950.868
Dataset 59 Aggregate ($B),955.753
Dataset 60 Aggregate ($B),956.288
Dataset 61 Aggregate ($B),949.933
Dataset 62 Aggregate ($B),956.472
Dataset 63 Aggregate ($B),950.340
Dataset 64 Aggregate ($B),951.144
Dataset 65 Aggregate ($B),951.254
Dataset 66 Aggregate ($B),953.176
Dataset 67 Aggregate ($B),952.957
Dataset 68 Aggregate ($B),958.373
Dataset 69 Aggregate ($B),958.701
Dataset 70 Aggregate ($B),953.429
Dataset 71 Aggregate ($B),951.762
Dataset 72 Aggregate ($B),959.365
Dataset 73 Aggregate ($B),944.952
Dataset 74 Aggregate ($B),956.994
Dataset 75 Aggregate ($B),954.154
Dataset 76 Aggregate ($B),960.013
Dataset 77 Aggregate ($B),949.323
Dataset 78 Aggregate ($B),955.624
Dataset 79 Aggregate ($B),962.925
Dataset 80 Aggregate ($B),946.031
Dataset 81 Aggregate ($B),951.084
Dataset 82 Aggregate ($B),958.721
Dataset 83 Aggregate ($B),949.654
Dataset 84 Aggregate ($B),950.748
Dataset 85 Aggregate ($B),959.393
Dataset 86 Aggregate ($B),954.263
Dataset 87 Aggregate ($B),951.163
Dataset 88 Aggregate ($B),960.696
Dataset 89 Aggregate ($B),953.744
Dataset 90 Aggregate ($B),950.197
Dataset 91 Aggregate ($B),949.397
Dataset 92 Aggregate ($B),958.500
Dataset 93 Aggregate ($B),952.634
Dataset 94 Aggregate ($B),956.342
Dataset 95 Aggregate ($B),951.554
Dataset 96 Aggregate ($B),956.635
Dataset 97 Aggregate ($B),954.511
Dataset 98 Aggregate ($B),964.868
Dataset 99 Aggregate ($B),946.333
Dataset 100 Aggregate ($B),949.759
